job_id,arm,order,stream,endpoint,records,network_forwards,loss_backward_calls,adam_calls,jacobian_vjp_upper,actual_parameter_replacements_upper,worker_slot_1,worker_slot_2,worker_slot_3,status,gpu
o0a0,C,0,0,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o0a1,RP,0,0,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o0a2,T_LR,0,0,primary,1951,17559,1951,1951,0,0,0,0,2,NOT_RUN,
o0a3,T_ISO,0,0,primary,1951,17559,1951,1951,0,0,0,1,0,NOT_RUN,
o0a4,T_DIAG,0,0,primary,1951,17559,1951,1951,0,0,0,0,1,NOT_RUN,
o0a5,U_PCA,0,0,primary,1951,15608,1951,1951,15608,1951,0,1,2,NOT_RUN,
o0a6,U_RAND,0,0,primary,1951,15608,1951,1951,15608,1951,0,0,0,NOT_RUN,
o0a7,U_SCALE,0,0,primary,1951,15608,1951,1951,15608,1951,0,1,1,NOT_RUN,
o0a8,S_JOINT,0,0,primary,1951,17559,1951,1951,0,1951,0,0,2,NOT_RUN,
o0a9,S_SHARED,0,0,primary,1951,17559,1951,1951,0,1951,0,1,0,NOT_RUN,
o0a10,S_NOPCA,0,0,primary,1951,17559,1951,1951,0,1951,0,0,1,NOT_RUN,
o0a11,M_TRANSPORT,0,0,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o0a12,M_IDPOST,0,0,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o0a13,M_SHUFFLE,0,0,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o0a14,G_PCA,0,0,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o0a15,G_ISO,0,0,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o0a16,G_ORDER,0,0,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o1a0,C,1,1,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o1a1,RP,1,1,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o1a2,T_LR,1,1,primary,1951,17559,1951,1951,0,0,0,1,0,NOT_RUN,
o1a3,T_ISO,1,1,primary,1951,17559,1951,1951,0,0,0,0,1,NOT_RUN,
o1a4,T_DIAG,1,1,primary,1951,17559,1951,1951,0,0,0,1,2,NOT_RUN,
o1a5,U_PCA,1,1,primary,1951,15608,1951,1951,15608,1951,0,0,0,NOT_RUN,
o1a6,U_RAND,1,1,primary,1951,15608,1951,1951,15608,1951,0,1,1,NOT_RUN,
o1a7,U_SCALE,1,1,primary,1951,15608,1951,1951,15608,1951,0,0,2,NOT_RUN,
o1a8,S_JOINT,1,1,primary,1951,17559,1951,1951,0,1951,0,1,0,NOT_RUN,
o1a9,S_SHARED,1,1,primary,1951,17559,1951,1951,0,1951,0,0,1,NOT_RUN,
o1a10,S_NOPCA,1,1,primary,1951,17559,1951,1951,0,1951,0,1,2,NOT_RUN,
o1a11,M_TRANSPORT,1,1,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o1a12,M_IDPOST,1,1,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o1a13,M_SHUFFLE,1,1,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o1a14,G_PCA,1,1,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o1a15,G_ISO,1,1,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o1a16,G_ORDER,1,1,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o2a0,C,2,2,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o2a1,RP,2,2,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o2a2,T_LR,2,2,primary,1951,17559,1951,1951,0,0,0,0,1,NOT_RUN,
o2a3,T_ISO,2,2,primary,1951,17559,1951,1951,0,0,0,1,2,NOT_RUN,
o2a4,T_DIAG,2,2,primary,1951,17559,1951,1951,0,0,0,0,0,NOT_RUN,
o2a5,U_PCA,2,2,primary,1951,15608,1951,1951,15608,1951,0,1,1,NOT_RUN,
o2a6,U_RAND,2,2,primary,1951,15608,1951,1951,15608,1951,0,0,2,NOT_RUN,
o2a7,U_SCALE,2,2,primary,1951,15608,1951,1951,15608,1951,0,1,0,NOT_RUN,
o2a8,S_JOINT,2,2,primary,1951,17559,1951,1951,0,1951,0,0,1,NOT_RUN,
o2a9,S_SHARED,2,2,primary,1951,17559,1951,1951,0,1951,0,1,2,NOT_RUN,
o2a10,S_NOPCA,2,2,primary,1951,17559,1951,1951,0,1951,0,0,0,NOT_RUN,
o2a11,M_TRANSPORT,2,2,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o2a12,M_IDPOST,2,2,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o2a13,M_SHUFFLE,2,2,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o2a14,G_PCA,2,2,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o2a15,G_ISO,2,2,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o2a16,G_ORDER,2,2,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o3a0,C,3,3,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o3a1,RP,3,3,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o3a2,T_LR,3,3,primary,1951,17559,1951,1951,0,0,0,1,2,NOT_RUN,
o3a3,T_ISO,3,3,primary,1951,17559,1951,1951,0,0,0,0,0,NOT_RUN,
o3a4,T_DIAG,3,3,primary,1951,17559,1951,1951,0,0,0,1,1,NOT_RUN,
o3a5,U_PCA,3,3,primary,1951,15608,1951,1951,15608,1951,0,0,2,NOT_RUN,
o3a6,U_RAND,3,3,primary,1951,15608,1951,1951,15608,1951,0,1,0,NOT_RUN,
o3a7,U_SCALE,3,3,primary,1951,15608,1951,1951,15608,1951,0,0,1,NOT_RUN,
o3a8,S_JOINT,3,3,primary,1951,17559,1951,1951,0,1951,0,1,2,NOT_RUN,
o3a9,S_SHARED,3,3,primary,1951,17559,1951,1951,0,1951,0,0,0,NOT_RUN,
o3a10,S_NOPCA,3,3,primary,1951,17559,1951,1951,0,1951,0,1,1,NOT_RUN,
o3a11,M_TRANSPORT,3,3,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o3a12,M_IDPOST,3,3,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o3a13,M_SHUFFLE,3,3,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o3a14,G_PCA,3,3,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o3a15,G_ISO,3,3,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o3a16,G_ORDER,3,3,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o4a0,C,4,4,secondary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o4a1,RP,4,4,secondary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o4a2,T_LR,4,4,secondary,1951,17559,1951,1951,0,0,0,0,0,NOT_RUN,
o4a3,T_ISO,4,4,secondary,1951,17559,1951,1951,0,0,0,1,1,NOT_RUN,
o4a4,T_DIAG,4,4,secondary,1951,17559,1951,1951,0,0,0,0,2,NOT_RUN,
o4a5,U_PCA,4,4,secondary,1951,15608,1951,1951,15608,1951,0,1,0,NOT_RUN,
o4a6,U_RAND,4,4,secondary,1951,15608,1951,1951,15608,1951,0,0,1,NOT_RUN,
o4a7,U_SCALE,4,4,secondary,1951,15608,1951,1951,15608,1951,0,1,2,NOT_RUN,
o4a8,S_JOINT,4,4,secondary,1951,17559,1951,1951,0,1951,0,0,0,NOT_RUN,
o4a9,S_SHARED,4,4,secondary,1951,17559,1951,1951,0,1951,0,1,1,NOT_RUN,
o4a10,S_NOPCA,4,4,secondary,1951,17559,1951,1951,0,1951,0,0,2,NOT_RUN,
o4a11,M_TRANSPORT,4,4,secondary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o4a12,M_IDPOST,4,4,secondary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o4a13,M_SHUFFLE,4,4,secondary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o4a14,G_PCA,4,4,secondary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o4a15,G_ISO,4,4,secondary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o4a16,G_ORDER,4,4,secondary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
