order,domain,arm,channel,dice_percent
0,ORIGA,MT_RP,OD,85.12467761531587
0,ORIGA,MT_RP,OC,69.85041748770837
0,ORIGA,MT_RP,macro,77.48754755151212
0,ORIGA,FT,OD,81.12461963723905
0,ORIGA,FT,OC,63.22861058074462
0,ORIGA,FT,macro,72.17661510899184
0,ORIGA,FT_RP,OD,81.04660566084819
0,ORIGA,FT_RP,OC,63.851619566774744
0,ORIGA,FT_RP,macro,72.44911261381148
0,ORIGA,KDG,OD,88.42154197066334
0,ORIGA,KDG,OC,72.57315519270242
0,ORIGA,KDG,macro,80.49734858168289
0,ORIGA,K_ALL,OD,88.42394550499915
0,ORIGA,K_ALL,OC,72.58598161820625
0,ORIGA,K_ALL,macro,80.5049635616027
0,ORIGA,K_MAG,OD,88.26247275989364
0,ORIGA,K_MAG,OC,72.47187066849763
0,ORIGA,K_MAG,macro,80.36717171419563
0,ORIGA,K_FREE,OD,88.27887760629721
0,ORIGA,K_FREE,OC,72.52321739080027
0,ORIGA,K_FREE,macro,80.40104749854873
0,ORIGA,G_BOUND,OD,88.22703232157868
0,ORIGA,G_BOUND,OC,72.15431640930828
0,ORIGA,G_BOUND,macro,80.19067436544348
0,ORIGA,G_CONST,OD,88.13389910389512
0,ORIGA,G_CONST,OC,72.23628669789366
0,ORIGA,G_CONST,macro,80.18509290089439
0,ORIGA,G_SHUFFLE,OD,88.13835895073316
0,ORIGA,G_SHUFFLE,OC,72.23559299593974
0,ORIGA,G_SHUFFLE,macro,80.18697597333643
0,ORIGA,G_GLOBAL,OD,88.17189775897012
0,ORIGA,G_GLOBAL,OC,72.1196229664286
0,ORIGA,G_GLOBAL,macro,80.14576036269936
0,REFUGE_Valid,C,OD,78.41050005855557
0,REFUGE_Valid,C,OC,59.722511469446815
0,REFUGE_Valid,C,macro,69.06650576400119
0,REFUGE_Valid,RP,OD,78.05376018695198
0,REFUGE_Valid,RP,OC,58.70903823296187
0,REFUGE_Valid,RP,macro,68.38139920995692
0,REFUGE_Valid,MT,OD,82.2948074544865
0,REFUGE_Valid,MT,OC,63.08998941845096
0,REFUGE_Valid,MT,macro,72.69239843646872
0,REFUGE_Valid,MT_RP,OD,82.11559108458925
0,REFUGE_Valid,MT_RP,OC,61.975978688925174
0,REFUGE_Valid,MT_RP,macro,72.04578488675723
0,REFUGE_Valid,FT,OD,85.10835494685672
0,REFUGE_Valid,FT,OC,67.56996767421606
0,REFUGE_Valid,FT,macro,76.33916131053638
0,REFUGE_Valid,FT_RP,OD,85.1195802013427
0,REFUGE_Valid,FT_RP,OC,66.85482436627565
0,REFUGE_Valid,FT_RP,macro,75.98720228380918
0,REFUGE_Valid,KDG,OD,78.2529460005401
0,REFUGE_Valid,KDG,OC,59.473422783022365
