order,subset,arm,OD,OC,macro
0,remaining_dev,C,86.99856266292116,71.20994968026714,79.10425617159416
0,remaining_dev,RP,86.96914830806992,71.6110041236752,79.29007621587256
0,remaining_dev,MT,86.25094400512725,70.40177478202872,78.32635939357799
0,remaining_dev,MT_RP,86.25045134627362,70.91312547440744,78.58178841034054
0,remaining_dev,FT,84.68804248164194,68.09077080137412,76.38940664150803
0,remaining_dev,FT_RP,84.74949059408308,68.75291731337423,76.75120395372866
0,remaining_dev,KDG,87.04222693273654,71.31315943321263,79.1776931829746
0,remaining_dev,K_ALL,87.02789639225992,71.28307293170768,79.15548466198379
0,remaining_dev,K_MAG,86.99998326640558,71.21227847323377,79.10613086981968
0,remaining_dev,K_FREE,87.02546960341226,71.29586637747964,79.16066799044594
0,remaining_dev,G_BOUND,86.9649239448521,70.967494016847,78.96620898084956
0,remaining_dev,G_CONST,86.93245684948258,71.00014475389602,78.96630080168931
0,remaining_dev,G_SHUFFLE,86.9364362878526,71.0028749199819,78.96965560391725
0,remaining_dev,G_GLOBAL,86.96475157834134,70.9614689211109,78.96311024972613
0,legacy_dev,C,86.76398755924666,71.8488390958779,79.30641332756228
0,legacy_dev,RP,86.72325689045748,72.15190810285387,79.43758249665566
0,legacy_dev,MT,86.02718493310661,70.95604184268831,78.49161338789744
0,legacy_dev,MT_RP,86.01784351372783,71.37684719165026,78.69734535268904
0,legacy_dev,FT,84.58217666212568,68.97979064669923,76.78098365441247
0,legacy_dev,FT_RP,84.61517537221673,69.50795468770957,77.06156502996316
0,legacy_dev,KDG,86.7992847724059,71.93545634692612,79.367370559666
0,legacy_dev,K_ALL,86.77923051809215,71.92247837848898,79.35085444829056
0,legacy_dev,K_MAG,86.7697480143068,71.85410065611784,79.31192433521232
0,legacy_dev,K_FREE,86.80320350225267,71.91599208063752,79.35959779144511
0,legacy_dev,G_BOUND,86.75778255571443,71.63439012403408,79.19608633987426
0,legacy_dev,G_CONST,86.73080448546908,71.66182934607883,79.19631691577395
0,legacy_dev,G_SHUFFLE,86.7338612571166,71.66525176148362,79.19955650930011
0,legacy_dev,G_GLOBAL,86.76487679352107,71.62674290144763,79.19580984748434
0,p1_extension_dev,C,87.53748279860129,71.45671810621926,79.49710045241028
0,p1_extension_dev,RP,87.47824079920477,71.64954853557404,79.5638946673894
0,p1_extension_dev,MT,86.71326068602573,70.58871877619825,78.65098973111199
0,p1_extension_dev,MT_RP,86.70688713134396,70.91383745231968,78.81036229183182
0,p1_extension_dev,FT,85.05737129349052,68.46677010689461,76.76207070019257
0,p1_extension_dev,FT_RP,85.11243429348077,68.93340422213939,77.02291925781007
0,p1_extension_dev,KDG,87.5718663286614,71.48829009099512,79.53007820982826
0,p1_extension_dev,K_ALL,87.55899165224216,71.4827944753087,79.52089306377542
0,p1_extension_dev,K_MAG,87.53904242733083,71.45844082447361,79.49874162590223
0,p1_extension_dev,K_FREE,87.565434767726,71.4953038669243,79.53036931732515
0,p1_extension_dev,G_BOUND,87.514707187384,71.30863159356933,79.41166939047666
0,p1_extension_dev,G_CONST,87.4835767418031,71.34848202429053,79.4160293830468
0,p1_extension_dev,G_SHUFFLE,87.4870760662797,71.34918844877315,79.41813225752641
0,p1_extension_dev,G_GLOBAL,87.51571772769302,71.31683854669166,79.41627813719234
0,all_dev,C,87.08898916901904,71.37107661622294,79.23003289262098
0,all_dev,RP,87.04646858063344,71.67301353688833,79.35974105876089
0,all_dev,MT,86.43684305682012,70.64364067073095,78.54024186377553
0,all_dev,MT_RP,86.43068247288475,71.0578364069923,78.74425943993853
0,all_dev,FT,84.88957161395547,68.5752575560895,76.73241458502247
0,all_dev,FT_RP,84.9438792367443,69.13998138313767,77.04193030994098
0,all_dev,KDG,87.1245585493649,71.4417295441087,79.2831440467368
0,all_dev,K_ALL,87.10676780979668,71.42055204324478,79.26365992652073
0,all_dev,K_MAG,87.09062576218463,71.37329330415938,79.231959533172
0,all_dev,K_FREE,87.11796332675738,71.43226292588226,79.27511312631981
0,all_dev,G_BOUND,87.06555907996804,71.17409847238842,79.11982877617822
