pair,primary_delta_pp,positive_orders,worst_same_order_delta_pp,secondary_delta_pp
RP-C,0.16876042450311957,2,-0.1347894423383309,-0.05248622235599498
MT-C,-0.5368355167757883,0,-0.8811091538806153,-0.16346265648634528
MT_RP-C,-0.3403544102475635,0,-0.5224677612536226,-0.16568314664495176
FT-C,-1.8989165145747045,0,-2.714849530086127,-1.1020221168437843
FT_RP-C,-1.6827492026333744,0,-2.3530522178654962,-1.0507911717141667
KDG-C,0.03738410006109305,3,-0.02246717504198159,0.012816295663483857
K_ALL-C,0.030543113956440493,3,-0.0038374181059168677,0.009616016197426802
K_MAG-C,0.000748233812142729,2,-0.003868262436910186,-2.486958791791949e-05
K_FREE-C,0.028454818178669683,4,0.009685104180519488,0.014612668961063946
G_BOUND-C,-0.07070276869598757,1,-0.15303788254108497,0.011001622695332003
G_CONST-C,-0.10633235766791671,0,-0.19383029827456255,-0.016062740740466097
G_SHUFFLE-C,-0.10294525845102953,0,-0.19270422960532585,-0.009357182157600619
G_GLOBAL-C,-0.06709428622926339,1,-0.1589674625231936,0.019106522092300793
MT_RP-MT,0.1964811065282248,3,-0.02928208765328577,-0.0022204901586064807
FT_RP-FT,0.2161673119413301,4,0.0889516262040928,0.05123094512961757
MT_RP-RP,-0.5091148347506831,1,-0.9953496465302436,-0.11319692428895678
FT_RP-RP,-1.851509627136494,0,-2.80834230950677,-0.9983049493581717
MT-FT,1.3620809977989161,4,0.8435216372207179,0.938559460357439
MT_RP-FT_RP,1.3423947923858108,4,0.7652415727486215,0.8851080250692149
KDG-K_ALL,0.006840986104652558,2,-0.018629756936064723,0.0032002794660570544
KDG-K_MAG,0.03663586624895032,3,-0.0190315577250999,0.012841165251401776
KDG-K_FREE,0.008929281882423368,2,-0.036229245966893586,-0.0017963732975800895
G_BOUND-G_CONST,0.03562958897192914,3,-9.182083975645128e-05,0.0270643634357981
G_BOUND-G_SHUFFLE,0.03224248975504196,3,-0.0034466230676883924,0.02035880485293262
G_BOUND-G_GLOBAL,-0.0036084824667241833,2,-0.021213966972894127,-0.00810489939696879
