order,domain,pair,channel,n,mean,median,p10,p90,positive,zero,negative,minimum,worst_decile_mean,tail_count,assd_common_valid,assd_not_jointly_defined,assd_left_undefined,assd_right_undefined,assd_delta_mean_px,assd_delta_median_px,assd_adverse_upper_decile_mean_px
0,REFUGE,T_LR-C,OD,336,0.27546081306275505,0.19795550993357836,-0.09008470787781331,0.7609761961418604,248,17,71,-0.6515915544427431,-0.23139953064914304,34,336,0,0,0,-0.30398449158243773,-0.18960613720367014,0.3236052014483719
0,REFUGE,T_LR-C,OC,336,-0.29704024274232804,-0.1757739146416637,-2.4298286741323674,1.7800076831961775,139,16,181,-4.796197202715513,-3.4431696081310763,34,336,0,0,0,0.20706702094752907,0.13170344364097497,1.7789285271215456
0,REFUGE,T_LR-C,macro,336,-0.010789714839786343,-0.003060814946742596,-0.9344314540959298,1.090608669748705,151,16,169,-2.418543524572736,-1.5109116772557616,34,,,,,,,
0,REFUGE,T_LR-RP,OD,336,0.24157822989504302,0.1657123863372023,-0.12346854811692287,0.7256842858379575,239,16,81,-0.5303528837730997,-0.23797488657472568,34,336,0,0,0,-0.2413112832600764,-0.16355517264766695,0.43059559274904186
0,REFUGE,T_LR-RP,OC,336,-0.29081791088430814,-0.182206506694238,-2.242743232927513,1.552287110934597,129,16,191,-4.189747187603821,-3.107301676817875,34,336,0,0,0,0.19233542167428178,0.12488655912097357,1.6009089613731222
0,REFUGE,T_LR-RP,macro,336,-0.02461984049463212,-0.017393284769262607,-0.8578799391557146,0.9888441968538775,146,16,174,-2.1085016134513968,-1.371429361197382,34,,,,,,,
0,REFUGE,T_LR-T_ISO,OD,336,-0.8549653335415401,-0.9057841199241357,-1.8635232195949147,0.042402572493094315,39,16,281,-3.1525703092460944,-2.2252366312755623,34,336,0,0,0,0.858044303852377,0.8031715892633087,3.028866441340637
0,REFUGE,T_LR-T_ISO,OC,336,0.6808438976285759,0.428120918450714,-0.9829973288943472,2.779970822858291,213,16,107,-4.531140227394825,-1.925576446981051,34,336,0,0,0,-0.385863969422178,-0.2506465062021135,1.0298440286304809
0,REFUGE,T_LR-T_ISO,macro,336,-0.0870607179564822,-0.0551587840716905,-1.1115070959328677,1.0115963690041307,134,16,186,-3.328704528154147,-1.7328067094287765,34,,,,,,,
0,REFUGE,T_LR-T_DIAG,OD,336,-0.023874839814024856,-0.015378886718098173,-0.14297823264247111,0.07247378831886087,129,16,191,-0.22689804027750116,-0.1711931431187112,34,336,0,0,0,0.021405615946065364,0.006083066146645777,0.29014573947960676
0,REFUGE,T_LR-T_DIAG,OC,336,0.27325590042510634,0.20221920346062405,-0.4747714541716741,1.275108592564983,221,16,99,-2.2171477421184083,-0.9608515254114373,34,336,0,0,0,-0.15589848518994823,-0.10772583898679522,0.5130930677669947
0,REFUGE,T_LR-T_DIAG,macro,336,0.12469053030554103,0.09055194847396031,-0.23809538016064669,0.6282983420788424,199,16,121,-1.127659849217455,-0.49162388550504776,34,,,,,,,
0,REFUGE,U_PCA-C,OD,336,-0.08153525870327914,-0.08247881870973028,-0.20690956972534424,0.032518582874252466,49,18,269,-0.3953852103642741,-0.24286892372567243,34,336,0,0,0,0.09421085067719577,0.07191388474239524,0.46371009250854955
0,REFUGE,U_PCA-C,OC,336,0.00047393103848384987,0.0,-0.3685837249778334,0.31770049916378107,158,17,161,-0.7998730259855424,-0.47202151007851895,34,336,0,0,0,-0.01438715094107382,-0.002943553278933475,0.2363809475008828
0,REFUGE,U_PCA-C,macro,336,-0.040530663832397486,-0.017504202975693328,-0.24434289527066055,0.13765141949371174,126,17,193,-0.535691952267725,-0.32159095451052844,34,,,,,,,
0,REFUGE,U_PCA-RP,OD,336,-0.11541784187099115,-0.11533934088960307,-0.2942219585315542,0.028067448025376196,49,18,269,-0.46466517411355435,-0.3401902874682812,34,336,0,0,0,0.1568840589995571,0.10004237394987925,0.8955575954023115
0,REFUGE,U_PCA-RP,OC,336,0.0066962628965037884,0.0,-0.5660887251004276,0.5701996545281862,157,18,161,-1.143963658090763,-0.7721389485080186,34,336,0,0,0,-0.02911875021432111,0.0,0.3744312463268201
0,REFUGE,U_PCA-RP,macro,336,-0.054360789487243266,-0.028426264714465077,-0.36716330711293876,0.22198597938165587,125,17,194,-0.7782864896639041,-0.5027000278988973,34,,,,,,,
0,REFUGE,U_PCA-U_RAND,OD,336,-0.012554395707271883,-0.011911516139195832,-0.05560151226183252,0.023390348020285723,89,24,223,-0.12218324726060992,-0.07694549761049807,34,336,0,0,0,0.018661930915893216,0.011123637174164536,0.15968747179051507
0,REFUGE,U_PCA-U_RAND,OC,336,-0.004797794218542803,0.0,-0.1533398569695532,0.1361426146427147,151,23,162,-0.31891143988915793,-0.20013686730839939,34,336,0,0,0,-0.004879539331757614,0.0,0.11260895603572116
0,REFUGE,U_PCA-U_RAND,macro,336,-0.008676094962907301,-0.0033908594300358086,-0.0918356373020901,0.06330167565509748,138,19,179,-0.1895244881720881,-0.12299968247933232,34,,,,,,,
0,REFUGE,U_PCA-U_SCALE,OD,336,-0.07312952979053707,-0.07532897330572719,-0.17898798524307313,0.02719663353451529,46,20,270,-0.3625393866107829,-0.21385976004000434,34,336,0,0,0,0.0800944759042051,0.060611119049814643,0.37264773402165663
0,REFUGE,U_PCA-U_SCALE,OC,336,0.00201519925133164,0.0,-0.3331407771458017,0.3104383468557237,159,17,160,-0.7747145070989281,-0.44506329450609056,34,336,0,0,0,-0.015031271635672574,-0.0023382929609045977,0.22562689261240995
0,REFUGE,U_PCA-U_SCALE,macro,336,-0.03555716526960249,-0.016214707029815756,-0.22188281002525345,0.1296554924471116,130,17,189,-0.5076749436128791,-0.2975189379089285,34,,,,,,,
0,REFUGE,S_JOINT-C,OD,336,-0.6457429979265729,-0.4973435972913942,-1.6328254848790191,0.16731461659884594,56,20,260,-4.947439285702626,-2.4695729787512484,34,336,0,0,0,1.226772214691569,0.47891518708869585,8.361741707217382
0,REFUGE,S_JOINT-C,OC,336,-0.12956982354507782,0.0,-1.6341472786051192,1.122012490828489,164,20,152,-6.374937065956754,-2.5213842802515143,34,336,0,0,0,0.04804346563696936,0.0,1.1452128352827646
0,REFUGE,S_JOINT-C,macro,336,-0.38765641073582513,-0.2604142623115868,-1.4263040099085689,0.3424265730486209,90,19,227,-5.661188175829701,-2.0897645276381036,34,,,,,,,
0,REFUGE,S_JOINT-RP,OD,336,-0.6796255810942848,-0.5229189946545032,-1.7306808197996737,0.16397383366641982,51,32,253,-5.020486749315111,-2.554845639156801,34,336,0,0,0,1.28944542301393,0.4965390870322661,8.760937412083903
0,REFUGE,S_JOINT-RP,OC,336,-0.12334749168705786,0.0,-1.8072120824438431,1.3864190481454985,152,32,152,-6.324479972340091,-2.6214975519912294,34,336,0,0,0,0.03331186636372207,0.0,1.1675264626962645
0,REFUGE,S_JOINT-RP,macro,336,-0.40148653639067095,-0.26338540261501286,-1.5129783887930848,0.4459697151159847,84,32,220,-5.6724833608276075,-2.165939189498356,34,,,,,,,
0,REFUGE,S_JOINT-S_SHARED,OD,336,-0.6614762104239802,-0.4980817381946445,-1.6897634627222713,0.1759963286779298,53,32,251,-5.006208325150851,-2.523159033653883,34,336,0,0,0,1.2679594708537738,0.49107567615190106,8.695042129068593
0,REFUGE,S_JOINT-S_SHARED,OC,336,-0.12439932889046033,0.0,-1.8029331890453748,1.3759109872570119,152,32,152,-6.334719388507192,-2.642719207624142,34,336,0,0,0,0.032853330797873725,0.0,1.1719023087455878
0,REFUGE,S_JOINT-S_SHARED,macro,336,-0.39293776965722044,-0.2564440869316509,-1.510964482894095,0.458848992738603,85,32,219,-5.670463856829033,-2.1633799764796176,34,,,,,,,
0,REFUGE,S_JOINT-S_NOPCA,OD,336,0.01661641201558219,0.003372797297379604,-0.013957975911443876,0.0666238916782913,185,60,91,-0.04386205734960846,-0.025962247616022747,34,336,0,0,0,-0.03528126150571274,-0.0034383383358109754,0.037216435598487585
0,REFUGE,S_JOINT-S_NOPCA,OC,336,0.020628212298944876,0.00442467750156883,-0.1091950481568571,0.16405533843104614,175,54,107,-0.5547292543957583,-0.21666135094851077,34,336,0,0,0,-0.005558573075159309,0.0,0.10786584526241137
0,REFUGE,S_JOINT-S_NOPCA,macro,336,0.018622312157263583,0.004536107898461816,-0.05295724715265182,0.10723835361656775,185,51,100,-0.23975206991082576,-0.10156063911204455,34,,,,,,,
0,REFUGE,M_TRANSPORT-C,OD,336,0.03639940707770345,0.02973222651703744,-0.011748530728022955,0.10195444493013017,250,23,63,-0.17864827411454565,-0.0387438825803796,34,336,0,0,0,-0.06656854628840425,-0.024137628076629447,0.06423761154217299
0,REFUGE,M_TRANSPORT-C,OC,336,-0.010196151372017067,0.0,-0.2934678427333748,0.2615710592070608,161,21,154,-0.7228778095580646,-0.4362536198505711,34,336,0,0,0,0.018288877749384317,0.0020668471405942412,0.2613293053466106
0,REFUGE,M_TRANSPORT-C,macro,336,0.013101627852843047,0.010173828663184725,-0.11965962182936551,0.16747945176233126,183,19,134,-0.35583221779310614,-0.19891128029415614,34,,,,,,,
0,REFUGE,M_TRANSPORT-RP,OD,336,0.0025168239099914486,0.00014172058755423933,-0.0020956235472269213,0.010642709802483052,168,101,67,-0.02145564474667072,-0.004996154658775251,34,336,0,0,0,-0.0038953379660429123,0.0,0.01520923245642436
0,REFUGE,M_TRANSPORT-RP,OC,336,-0.003973819513997129,0.0,-0.03926271646205737,0.03156627771164766,124,62,150,-0.1403439699688036,-0.06744663062881102,34,336,0,0,0,0.003557278476137026,0.0,0.05538933139014426
0,REFUGE,M_TRANSPORT-RP,macro,336,-0.0007284978020027326,0.0,-0.017370970616775727,0.017827675967713175,141,46,149,-0.06258033726975754,-0.03139644266664766,34,,,,,,,
0,REFUGE,M_TRANSPORT-M_IDPOST,OD,336,0.0005869502799601504,0.0,-0.004129117683099315,0.006514840748533812,117,103,116,-0.019405521360715827,-0.006577933479949969,34,336,0,0,0,-2.049512625610346e-05,0.0,0.025000466107988926
0,REFUGE,M_TRANSPORT-M_IDPOST,OC,336,-0.00340742107799859,0.0,-0.03325688396108584,0.024603530978212218,119,66,151,-0.11926126554411276,-0.055049580283291176,34,336,0,0,0,0.0022185941680499125,0.0,0.04706085420450908
0,REFUGE,M_TRANSPORT-M_IDPOST,macro,336,-0.0014102353990192943,0.0,-0.015892660717159446,0.012382512228326092,128,53,155,-0.05217302799676027,-0.026077950149366542,34,,,,,,,
0,REFUGE,M_TRANSPORT-M_SHUFFLE,OD,336,-0.3648136431054285,-0.2717868228642062,-0.9628849794052263,0.0,29,21,286,-1.6146972054643771,-1.1349921731014763,34,336,0,0,0,0.35626794589519145,0.2381207888854524,1.3633703402922401
0,REFUGE,M_TRANSPORT-M_SHUFFLE,OC,336,0.14326687548382933,0.021905062738214465,-0.7245924269493165,0.9828832364471851,179,18,139,-1.9607366490211553,-1.161244754678925,34,336,0,0,0,-0.09878294668212195,-0.035651763273873094,0.6317648886880268
0,REFUGE,M_TRANSPORT-M_SHUFFLE,macro,336,-0.11077338381079972,-0.04215003790182248,-0.6833173053655273,0.2762822922884045,107,17,212,-1.6146857664828596,-0.990715034356811,34,,,,,,,
0,REFUGE,G_PCA-C,OD,336,0.21482256732919622,0.18129696103974524,0.0,0.5200602690979939,299,18,19,-0.4024423512085762,-0.0373517739435839,34,336,0,0,0,-0.21537304071916508,-0.16397331627534495,0.09848495831214367
0,REFUGE,G_PCA-C,OC,336,-0.025118528782157822,-0.017069253097024006,-0.12394926269149731,0.060231044680730816,105,27,204,-0.2936897843642816,-0.17803383805818818,34,336,0,0,0,0.014531529028792824,0.00691234136562624,0.12129732025980079
0,REFUGE,G_PCA-C,macro,336,0.09485201927351888,0.07176395970129867,-0.0050291093364074335,0.24518210079967906,279,18,39,-0.25217986340098086,-0.04769760718718139,34,,,,,,,
0,REFUGE,G_PCA-RP,OD,336,0.18093998416148419,0.15379101434590536,0.0,0.4332036953420215,299,18,19,-0.24524972184070126,-0.03784120216495787,34,336,0,0,0,-0.15269983239680376,-0.12821394027294808,0.12834014525596157
0,REFUGE,G_PCA-RP,OC,336,-0.018896196924137885,-0.015084486695460253,-0.21268791362680783,0.18068847588507686,130,21,185,-0.557551100983178,-0.29350961312906576,34,336,0,0,0,-0.00020007024445446522,0.0,0.16857606217051604
0,REFUGE,G_PCA-RP,macro,336,0.08102189361867311,0.05342285060257468,-0.014287284391062416,0.21945582415361375,263,17,56,-0.2087366984345973,-0.04922447237759194,34,,,,,,,
0,REFUGE,G_PCA-G_ISO,OD,336,0.07003998505153873,0.06040940102996495,0.0,0.17196767807012847,287,20,29,-0.15512278101295074,-0.018949837900327685,34,336,0,0,0,-0.06774290381520218,-0.04870636750450075,0.05007517634521667
0,REFUGE,G_PCA-G_ISO,OC,336,-0.005338536003095763,0.0,-0.034667380133068804,0.020992131990188456,116,59,161,-0.12300197744493646,-0.05810455906679188,34,336,0,0,0,0.0030670561750315373,0.0,0.04937859761526742
0,REFUGE,G_PCA-G_ISO,macro,336,0.03235072452422131,0.025533216920398116,-0.001340080300404889,0.08228346776679163,276,20,40,-0.10191183813330618,-0.021061435889640392,34,,,,,,,
0,REFUGE,G_PCA-G_ORDER,OD,336,0.213909204532069,0.18154937318100028,0.0,0.5203209044410628,298,18,20,-0.4092271214056975,-0.03767848734991122,34,336,0,0,0,-0.21445689373710916,-0.1640075174381046,0.09829947015171714
0,REFUGE,G_PCA-G_ORDER,OC,336,-0.025317923745501007,-0.017662594454442848,-0.12429743799083348,0.06344316131536853,105,27,204,-0.2921441652413814,-0.17816787215242313,34,336,0,0,0,0.014724108795814185,0.006832078892611726,0.1203651641181727
0,REFUGE,G_PCA-G_ORDER,macro,336,0.094295640393284,0.07066180218466833,-0.0050291093364074335,0.24062366821577252,279,18,39,-0.25557224849953597,-0.04873862890680389,34,,,,,,,
0,ORIGA,T_LR-C,OD,586,0.881727049284077,1.0087403165013498,-2.2051587418815743,3.7117646537398965,407,0,179,-7.700859796073589,-4.107243519051728,59,586,0,0,0,-0.768093903604272,-0.8250213877780506,4.9768184756262706
0,ORIGA,T_LR-C,OC,586,1.2407288670627041,1.1210724841958675,-7.504614240611025,11.095029325541038,338,0,248,-17.95497886521673,-11.79896533723131,59,586,0,0,0,-0.13179804715573398,0.18255080504996268,8.215526346255448
0,ORIGA,T_LR-C,macro,586,1.0612279581733906,1.0425246423526324,-3.854857492981978,6.588197684982511,359,0,227,-11.158754455791842,-6.738521022551599,59,,,,,,,
0,ORIGA,T_LR-RP,OD,586,0.9141750863211507,1.0496869622388494,-2.1664419618146025,3.826022018624009,404,0,182,-7.604253854163812,-4.09922332949878,59,586,0,0,0,-0.7942513901414827,-0.8936640275887759,4.952202335923335
0,ORIGA,T_LR-RP,OC,586,0.7720503471173049,0.6267012998489585,-7.327938482110519,9.929543621647401,317,0,269,-16.75120075872186,-11.309311799909105,59,586,0,0,0,0.11498065772836827,0.2904988778701387,7.891172882767553
0,ORIGA,T_LR-RP,macro,586,0.8431127167192277,0.8666009499064597,-3.930369842890147,6.0599933227092,348,0,238,-10.598295248590194,-6.548670488426875,59,,,,,,,
0,ORIGA,T_LR-T_ISO,OD,586,0.29793901154669356,0.3680353353697652,-1.7814754678975475,2.2977923114905483,359,0,227,-5.473385517827001,-2.8001129979815156,59,586,0,0,0,-0.24749644541371588,-0.3117579606849681,3.174046679120186
0,ORIGA,T_LR-T_ISO,OC,586,-0.6066877672660116,-0.5301373401829623,-2.9269058730570228,1.4870967413536718,213,0,373,-5.444894468339934,-3.7383421211822014,59,586,0,0,0,0.4466033483257897,0.32078669920209446,3.062455149415782
0,ORIGA,T_LR-T_ISO,macro,586,-0.15437437785965955,-0.054459949196911106,-1.9810876293213875,1.4101314950521027,283,0,303,-4.605067671493335,-2.7163639101705734,59,,,,,,,
0,ORIGA,T_LR-T_DIAG,OD,586,0.7829443996703327,0.6881707364521483,-0.45738253759783354,2.141509594527907,454,0,132,-1.8180117928272344,-0.82380102397285,59,586,0,0,0,-0.8098533500241814,-0.6999931488923958,0.9598308677805357
0,ORIGA,T_LR-T_DIAG,OC,586,0.4029852160727245,0.36060942463513324,-1.8160332774353194,2.5055470822623436,350,0,236,-4.900296791927062,-2.510895204365835,59,586,0,0,0,-0.2717702352270171,-0.37624418195681564,2.4728332005091436
0,ORIGA,T_LR-T_DIAG,macro,586,0.592964807871528,0.5002948964664022,-0.8270389466251582,2.0890849621830743,399,0,187,-2.150299055027838,-1.1758985019329622,59,,,,,,,
0,ORIGA,U_PCA-C,OD,586,-0.3202914470275302,-0.28135789528059285,-0.6485108750870439,-0.009863808495425008,56,0,530,-4.876735232960316,-1.0449072307868856,59,586,0,0,0,0.3349459090435809,0.2662307517487279,1.2560648132282064
0,ORIGA,U_PCA-C,OC,586,-0.7035166123698952,-0.6778514436447391,-1.8513458876876943,0.595152447382491,139,0,447,-9.642095861231848,-2.5297078257562693,59,586,0,0,0,0.3369814705439518,0.3262832504203179,1.5730482979333107
0,ORIGA,U_PCA-C,macro,586,-0.5119040296987126,-0.50059528360068,-1.1719506659879697,0.21499352418271056,107,0,479,-6.712497875305701,-1.6583311299699626,59,,,,,,,
0,ORIGA,U_PCA-RP,OD,586,-0.2878434099904565,-0.22918328394930243,-0.7102664060910369,0.0634381965761599,94,0,492,-5.152309457494686,-1.1606982391536043,59,586,0,0,0,0.3087884225063702,0.2086663840872971,1.4414070968498014
