order,pair,channel,n,mean,median,p10,p90,positive,zero,negative,minimum,worst_decile_mean,tail_count,assd_common_valid,assd_not_jointly_defined,assd_left_undefined,assd_right_undefined,assd_delta_mean_px,assd_delta_median_px,assd_adverse_upper_decile_mean_px
0,T_LR-C,OD,1695,-6.063109346607926,-1.0822454549290983,-17.709493676015647,2.279193584204589,681,17,997,-26.711518474708217,-19.491492480143165,170,1695,0,0,0,6.632926022172505,1.5528622619893238,23.985722598398155
0,T_LR-C,OC,1695,-5.926126048737735,-4.321987236032799,-17.97693604775918,5.752399653627983,513,16,1166,-25.539435597068927,-20.170080186146595,170,1695,0,0,0,5.809320981836841,3.5727748376362882,19.87352366758015
0,T_LR-C,macro,1695,-5.9946176976728305,-2.300816725663435,-17.372658885703306,3.7984325902879736,545,16,1134,-22.061753706782582,-18.82163070805263,170,,,,,,,
0,T_LR-RP,OD,1695,-5.908892488357133,-1.0965976841793013,-17.17152091979282,2.2935847018887703,668,16,1011,-25.815364275044818,-18.957145140044947,170,1695,0,0,0,6.527391183881607,1.584308561374657,23.585040469778313
0,T_LR-RP,OC,1695,-5.693903214251535,-4.357400655884181,-16.755742810280285,4.91005840113293,482,16,1197,-24.0346074721697,-18.841878544386596,170,1695,0,0,0,5.610576076871845,3.519129334940537,18.897957654422363
0,T_LR-RP,macro,1695,-5.801397851304335,-2.277904049964341,-16.56782808924913,3.4604972328534043,529,16,1150,-21.264760319421548,-17.90564135749564,170,,,,,,,
0,T_LR-T_ISO,OD,1695,-5.217307337305087,-1.769162802373736,-14.678111418826004,1.1725609595605957,420,16,1259,-19.588211364671558,-16.26840892138156,170,1695,0,0,0,5.996754546311808,1.8059284535186926,20.312291562253442
0,T_LR-T_ISO,OC,1695,-2.0435781821888224,-1.9785087361374742,-5.727672009046414,1.4952565522178478,450,16,1229,-9.601369632055047,-6.723643795171526,170,1695,0,0,0,2.287304024574739,1.581034364106337,8.541032072011259
0,T_LR-T_ISO,macro,1695,-3.630442759746955,-1.5745032226642142,-10.10229608502577,0.9012240594990109,441,16,1238,-13.328730822888923,-11.088610419945692,170,,,,,,,
0,T_LR-T_DIAG,OD,1695,-0.3664311584888598,-0.1519126391430481,-2.058356811448505,1.2532435317927029,621,16,1058,-3.56005319884547,-2.4672019404902,170,1695,0,0,0,0.7080093570206022,0.15244229901766104,4.829372154526437
0,T_LR-T_DIAG,OC,1695,1.1380467348416379,1.3726714760361802,-0.9610368856007722,2.945345192586744,1317,16,362,-10.51618341339533,-2.110622554643809,170,1695,0,0,0,-1.2787326543603048,-1.1911042995658363,1.9776048198089062
0,T_LR-T_DIAG,macro,1695,0.3858077881763891,0.3069943239761286,-0.5385193253029685,1.3593150294964624,1157,16,522,-4.63941078799942,-1.0603878099150381,170,,,,,,,
0,U_PCA-C,OD,1695,0.09695592619094484,-0.02766754844633068,-0.44763101275867134,0.7780104683200739,786,18,891,-4.876735232960316,-0.7480389238689626,170,1695,0,0,0,-0.08204172713528195,0.013723938884224296,1.1443654395234502
0,U_PCA-C,OC,1695,0.42354022197045393,0.2834006523352528,-1.4394509215672113,2.089254694652814,1015,17,663,-9.642095861231848,-2.3350847316995247,170,1695,0,0,0,-0.3203140108207546,-0.20289967562986888,1.371680569632783
