candidate,control,delta_pp,positive_orders,worst_same_order_delta_pp,secondary_delta_pp,order0_delta_pp,order1_delta_pp,order2_delta_pp,order3_delta_pp
T_LR,C,-1.4014049482442914,1,-2.9361544488392894,-1.857374329355622,-1.8010401943305538,-2.9361544488392894,-1.5315490060441448,0.6631238562368225
T_LR,RP,-1.570165372747411,0,-2.8013650065009585,-1.804888106999627,-1.9868602386089549,-2.8013650065009585,-1.492213674195284,-0.0002225716844463932
T_LR,T_ISO,-0.816875727991615,1,-2.05264333597178,-1.1828886071221234,-2.05264333597178,-0.9869898716484897,-0.32025369755358213,0.09238399320740598
T_LR,T_DIAG,0.3612006350788448,4,0.06185249535774062,0.38547381224140054,0.06185249535774062,0.2694008341564711,0.6265978430467669,0.48695136775441483
U_PCA,C,-0.1345234079388291,1,-0.28777834171670236,-0.03972031387755237,-0.2642312998298735,0.08398572164877294,-0.07006971185755617,-0.28777834171670236
U_PCA,RP,-0.3032838324419487,1,-0.9511247696379712,0.012765908478442611,-0.4500513441082745,0.21877516398710384,-0.03073438000869544,-0.9511247696379712
U_PCA,U_RAND,-0.05008120620591683,0,-0.1321790582897222,-0.028410053500408594,-0.1321790582897222,-0.009895328106424017,-0.013775255554719479,-0.04447518287284424
U_PCA,U_SCALE,-0.13247493688930945,1,-0.2855815638329915,-0.036243742441868676,-0.2607096434250593,0.07649650849944578,-0.060105048798632765,-0.2855815638329915
S_JOINT,C,-1.0707699952841523,0,-1.7819001243475157,-0.5175285664110589,-1.7819001243475157,-0.31303894830695356,-1.3154651810333746,-0.8726757274487937
S_JOINT,RP,-1.2395304197872719,0,-1.9677201686259167,-0.46504234405506395,-1.9677201686259167,-0.17824950596862266,-1.2761298491845139,-1.5360221553700626
S_JOINT,S_SHARED,-1.2379850545800224,0,-1.994983237102531,-0.4660933999007568,-1.994983237102531,-0.18232833574340646,-1.2676954329864287,-1.5069332124877235
S_JOINT,S_NOPCA,0.04539306828311851,2,-0.03838870404800332,-0.030362308532048132,0.013232486197722437,-0.010400157246110098,-0.03838870404800332,0.21712864822887923
M_TRANSPORT,C,0.16583174238390086,2,-0.12847410020502537,-0.05976476327879254,0.16028781014549054,-0.12847410020502537,-0.027858243008310524,0.6593715026034488
M_TRANSPORT,RP,-0.0029286821192187062,2,-0.025532234132910503,-0.007278540922797561,-0.025532234132910503,0.006315342133305535,0.01147708884055021,-0.003974925317820066
M_TRANSPORT,M_IDPOST,-0.003556840013771989,2,-0.027834168959259387,-0.005876863400061438,-0.027834168959259387,0.007185133669693755,0.013234563553055523,-0.006812888318577848
M_TRANSPORT,M_SHUFFLE,0.5165128889990598,4,0.24923118893011065,0.5888786584757639,0.24923118893011065,0.8549465512754608,0.606307463121766,0.3555663526689301
G_PCA,C,-0.1144927631062842,0,-0.12614163934892986,-0.09907322358122883,-0.12067913155883048,-0.12614163934892986,-0.11539796770097155,-0.09575231381643334
G_PCA,RP,-0.28325318760940377,1,-0.7590987417377022,-0.04658700122523385,-0.3064991758372315,0.008647802989401043,-0.07606263585211082,-0.7590987417377022
G_PCA,G_ISO,-0.051350848975232566,0,-0.06432719978911905,-0.028918488602357684,-0.06432719978911905,-0.037829463140312214,-0.04353850954043992,-0.05970822343105908
G_PCA,G_ORDER,-0.11733892821645497,0,-0.12762206461245285,-0.10014651836809207,-0.12416061455908789,-0.12762206461245285,-0.1157072679874176,-0.1018657657069042
