arm,mean_worker_minutes,mean_host_ms_per_record,mean_pipeline_ms_per_record,forward_per_record,total_VJP,peak_allocated_MiB,peak_active_bank_KiB,peak_context_KiB
C,21.382900891565562,578.4106959741102,655.399279848461,8.0,0,588.5458984375,0.0,0.0
RP,21.870509098179948,593.3939470682553,670.34558602308,8.0,0,637.0458984375,0.0,0.0
T_LR,23.445063743386417,642.8279564619974,718.9785400270912,9.0,0,644.10693359375,75.25,0.0
T_ISO,23.29930353512056,638.0090268425212,714.4177318149667,9.0,0,644.10693359375,75.25,0.0
T_DIAG,23.33624249113025,638.1817030536631,715.5504568140077,9.0,0,644.10693359375,75.25,0.0
U_PCA,25.500827083832895,705.8386322563664,782.0947518866978,8.0,77258,793.6728515625,75.25,0.0
U_RAND,26.429928811977152,734.7047134524765,810.748947266707,8.0,77262,793.6728515625,75.25,0.0
U_SCALE,25.700169849500526,712.2538063413574,788.248128185444,8.0,77264,793.6728515625,75.25,0.0
S_JOINT,26.926462740467397,750.0572804058461,825.9633493035706,9.0,0,690.35595703125,75.25,975.7109375
S_SHARED,23.146936949456578,633.3993059932434,709.6902852181273,9.0,0,690.35595703125,75.25,302.0
S_NOPCA,26.74757648164717,744.2699815116313,820.3667868066939,9.0,0,642.10693359375,75.25,975.7109375
M_TRANSPORT,23.13458672197225,633.058869701045,709.314157047487,8.0,0,603.66748046875,75.25,0.0
M_IDPOST,24.602018866767178,677.8043654591689,754.4096432555598,8.0,0,603.66748046875,75.25,0.0
M_SHUFFLE,24.75483623233624,682.1757089000087,759.1309781271251,8.0,0,603.66748046875,75.25,0.0
G_PCA,26.520770112093693,737.4700196316492,813.4062419930709,8.0,0,557.29345703125,75.25,0.0
G_ISO,26.0036477382939,722.0053849088555,797.4784385141793,8.0,0,557.29345703125,75.25,0.0
G_ORDER,24.62378032354638,679.3944611338931,755.0842996935877,8.0,0,557.29345703125,75.25,0.0
