arm,OD,OC,macro,delta_C_pp,delta_RP_pp,secondary_macro,secondary_delta_C_pp
C,87.34818383752473,69.8741377233861,78.61116078045542,0.0,-0.16876042450311957,77.92116932253487,0.0
RP,87.29415626203598,70.26568614788111,78.77992120495854,0.16876042450311957,0.0,77.86868310017887,-0.05248622235599498
T_LR,85.41907499024191,69.00043667418035,77.20975583221113,-1.4014049482442914,-1.570165372747411,76.06379499317924,-1.857374329355622
T_ISO,86.6775211644425,69.375741955963,78.02663156020274,-0.5845292202526764,-0.753289644755796,77.24668360030137,-0.6744857222334986
T_DIAG,85.53907717320028,68.15803322106427,76.84855519713228,-1.7626055833231362,-1.9313660078262558,75.67832118093784,-2.2428481415970225
U_PCA,87.29532007497215,69.65795467006103,78.47663737251659,-0.1345234079388291,-0.3032838324419487,77.88144900865731,-0.03972031387755237
U_RAND,87.31670469079981,69.73673246664521,78.52671857872251,-0.08444220173291228,-0.25320262623603185,77.90985906215772,-0.011310260377143777
U_SCALE,87.34868184008363,69.86954277872816,78.6091123094059,-0.0020484710495196623,-0.17080889555263923,77.91769275109918,-0.003476571435683695
S_JOINT,85.81620231181495,69.26457925852759,77.54039078517127,-1.0707699952841523,-1.2395304197872719,77.4036407561238,-0.5175285664110589
S_SHARED,87.29657537305857,70.260176306444,78.77837583975129,0.1672150592958701,-0.0015453652072494606,77.86973415602456,-0.05143516651030211
S_NOPCA,85.85044010639946,69.13955532737684,77.49499771688815,-1.1161630635672708,-1.2849234880703904,77.43400306465585,-0.4871662578790108
M_TRANSPORT,87.30761409884727,70.24637094683138,78.77699252283932,0.16583174238390086,-0.0029286821192187062,77.86140455925607,-0.05976476327879254
M_IDPOST,87.29365590579965,70.26744281990653,78.7805493628531,0.16938858239767285,0.0006281578945532829,77.86728142265613,-0.053887899878731105
M_SHUFFLE,86.9486605162551,69.57229875142542,78.26047963384026,-0.3506811466151589,-0.5194415711182785,77.27252590078031,-0.6486434217545565
G_PCA,87.30612235035314,69.68721368434514,78.49666801734914,-0.1144927631062842,-0.28325318760940377,77.82209609895364,-0.09907322358122883
G_ISO,87.33144089994184,69.7645968327069,78.54801886632437,-0.06314191413105164,-0.2319023386341712,77.851014587556,-0.07015473497887115
G_ORDER,87.34864656431046,69.87936732682073,78.61400694556559,0.002846165110170773,-0.1659142593929488,77.92224261732173,0.0010732947868632436
