order,domain,arm,channel,dice_n,dice_mean,dice_median,dice_p10,dice_p90,dice_positive,dice_zero,dice_negative,dice_minimum,dice_worst_decile_mean,dice_tail_count,assd_defined,assd_undefined,assd_conditional_n,assd_conditional_mean,assd_conditional_median,assd_conditional_p10,assd_conditional_p90,assd_conditional_positive,assd_conditional_zero,assd_conditional_negative,assd_conditional_minimum,assd_conditional_worst_decile_mean,assd_conditional_tail_count
0,REFUGE,C,OD,336,88.3771914422293,88.90097988746953,84.25939041717052,92.38079675536054,336,0,0,72.71862439650867,81.62393360464915,34,336,0,336,10.582681881661106,9.883094235764425,6.166801385093642,15.438810721266035,336,0,0,3.1185358131076875,5.059728183298451,34
0,REFUGE,C,OC,336,83.27966210909302,85.14832011830038,73.33757798214756,91.79981891020361,336,0,0,42.30769230769231,65.21931612794285,34,336,0,336,7.541661994267889,6.462994185491183,3.3419162425902043,12.297904385497556,336,0,0,2.0230735523170145,2.828421173834169,34
0,REFUGE,C,macro,336,85.82842677566116,86.63229458536267,80.74768033748754,90.61700826124589,336,0,0,63.08031779581891,76.58028792951801,34,,,,,,,,,,,,,
0,REFUGE,RP,OD,336,88.411074025397,88.92642584397382,84.29228594911564,92.38380644028666,336,0,0,72.69057231061505,81.65884873099039,34,336,0,336,10.520008673338745,9.879724655084596,6.132094993156862,15.39138684052168,336,0,0,3.118996532428402,5.05401036904067,34
0,REFUGE,RP,OC,336,83.27343977723501,85.17540032991792,73.14715622948819,91.69126485197391,336,0,0,42.184776292852995,65.1490212804016,34,336,0,336,7.556393593541137,6.445763767718562,3.3924504847818366,12.390719897702171,336,0,0,2.0333088844110843,2.8533315814543454,34
0,REFUGE,RP,macro,336,85.84225690131602,86.67415509162817,80.75584791753477,90.55046282147902,336,0,0,62.906566405112365,76.56682195738581,34,,,,,,,,,,,,,
0,REFUGE,T_LR,OD,336,88.65265225529204,89.13642811805809,84.45420145091472,92.58051844848077,336,0,0,72.16021942684195,81.82461573212765,34,336,0,336,10.278697390078671,9.562122562182967,6.047926240386487,15.200502945067395,336,0,0,3.0391648041103223,4.808976641004509,34
0,REFUGE,T_LR,OC,336,82.9826218663507,85.46998233190595,72.4112786786883,91.64103243342862,336,0,0,41.791388441169694,64.50967181574693,34,336,0,336,7.748729015215419,6.538823613727818,3.5552478438210073,12.92727191060076,336,0,0,2.0333088844110843,3.037553205540848,34
0,REFUGE,T_LR,macro,336,85.8176370608214,86.5925014886734,80.80797273456002,90.25620132619784,336,0,0,61.56370937700382,76.39315223091457,34,,,,,,,,,,,,,
0,REFUGE,T_ISO,OD,336,89.50761758883358,90.10125594714167,84.98931926757885,93.22843303909008,336,0,0,72.41188920585259,82.6099783367787,34,336,0,336,9.420653086226293,8.608681856225818,5.5541420889961755,14.292685131796066,336,0,0,2.8332622554684956,4.510091684441924,34
