order,subset,domain,arm,n,OD,OC,macro
0,remaining_dev,REFUGE,C,336,88.3771914422293,83.27966210909302,85.82842677566116
0,remaining_dev,REFUGE,C_PER256,336,88.01753738799141,83.14476021353491,85.58114880076316
0,remaining_dev,REFUGE,C_SENS,336,88.3771914422293,83.27966210909302,85.82842677566116
0,remaining_dev,REFUGE,C_PCA_GLOBAL,336,88.44765965832116,83.27275465467444,85.8602071564978
0,remaining_dev,REFUGE,C_PCA_SHUFFLED,336,88.44741247020268,83.27256687804132,85.859989674122
0,remaining_dev,REFUGE,C_PCA_REGION,336,88.411074025397,83.27343977723501,85.84225690131602
0,remaining_dev,ORIGA,C,586,88.25708328613436,72.46894910986828,80.3630161980013
0,remaining_dev,ORIGA,C_PER256,586,80.96118868640981,63.65648269643514,72.30883569142249
0,remaining_dev,ORIGA,C_SENS,586,88.25708328613436,72.46894910986828,80.3630161980013
0,remaining_dev,ORIGA,C_PCA_GLOBAL,586,88.35581163532582,72.39434768296434,80.37507965914507
0,remaining_dev,ORIGA,C_PCA_SHUFFLED,586,88.35308236556483,72.3938638671189,80.37347311634187
0,remaining_dev,ORIGA,C_PCA_REGION,586,88.22463524909729,72.93762762981366,80.58113143945548
0,remaining_dev,REFUGE_Valid,C,736,78.41050005855557,59.722511469446815,69.06650576400119
0,remaining_dev,REFUGE_Valid,C_PER256,736,85.94905152893631,66.18393095288609,76.0664912409112
0,remaining_dev,REFUGE_Valid,C_SENS,736,78.41050005855557,59.722511469446815,69.06650576400119
0,remaining_dev,REFUGE_Valid,C_PCA_GLOBAL,736,77.83309352511681,59.63508969865728,68.73409161188704
0,remaining_dev,REFUGE_Valid,C_PCA_SHUFFLED,736,77.83540078951019,59.6453433838229,68.74037208666654
0,remaining_dev,REFUGE_Valid,C_PCA_REGION,736,78.05376018695198,58.70903823296187,68.38139920995692
0,remaining_dev,Drishti_GS,C,37,92.94947586476542,69.36867603266047,81.15907594871295
0,remaining_dev,Drishti_GS,C_PER256,37,86.2004110368718,60.80736111349545,73.50388607518363
0,remaining_dev,Drishti_GS,C_SENS,37,92.94947586476542,69.36867603266047,81.15907594871295
0,remaining_dev,Drishti_GS,C_PCA_GLOBAL,37,93.19331790453302,68.71088870289157,80.95210330371229
0,remaining_dev,Drishti_GS,C_PCA_SHUFFLED,37,93.19696857145603,68.7095159791701,80.95324227531306
0,remaining_dev,Drishti_GS,C_PCA_REGION,37,93.18712377083344,71.52391085469023,82.35551731276183
0,legacy_dev,REFUGE,C,32,88.31338896126675,83.0850007524686,85.69919485686768
0,legacy_dev,REFUGE,C_PER256,32,87.90911080354465,82.79958459311337,85.35434769832901
0,legacy_dev,REFUGE,C_SENS,32,88.31338896126675,83.0850007524686,85.69919485686768
0,legacy_dev,REFUGE,C_PCA_GLOBAL,32,88.40058597591116,83.08028943552316,85.74043770571717
0,legacy_dev,REFUGE,C_PCA_SHUFFLED,32,88.39959132301706,83.07965413687955,85.73962272994831
0,legacy_dev,REFUGE,C_PCA_REGION,32,88.35939601218898,83.10089987443921,85.7301479433141
