order,subset,domain,left,right,channel,dice_n,dice_mean,dice_median,dice_p10,dice_p90,dice_positive,dice_zero,dice_negative,dice_minimum,dice_worst_decile_mean,dice_tail_count,assd_common_valid,assd_not_jointly_defined,assd_left_undefined,assd_right_undefined,assd_delta_mean_px,assd_delta_median_px,assd_adverse_upper_decile_mean_px
0,remaining_dev,REFUGE,C_SENS,C,OD,336,0.0,0.0,0.0,0.0,0,336,0,0.0,0.0,34,336,0,0,0,0.0,0.0,0.0
0,remaining_dev,REFUGE,C_SENS,C,OC,336,0.0,0.0,0.0,0.0,0,336,0,0.0,0.0,34,336,0,0,0,0.0,0.0,0.0
0,remaining_dev,REFUGE,C_SENS,C,macro,336,0.0,0.0,0.0,0.0,0,336,0,0.0,0.0,34,,,,,,,
0,remaining_dev,REFUGE,C_PER256,C,OD,336,-0.35965405423789065,0.0,-1.450276489119856,0.0,16,219,101,-6.605233847846758,-2.102456888879516,34,336,0,0,0,0.4603184699028918,0.0,3.2601362741167494
0,remaining_dev,REFUGE,C_PER256,C,OC,336,-0.13490189555811244,0.0,-1.1219069550179483,0.8242929753114525,58,219,59,-6.6253595671434296,-2.7418307491900986,34,336,0,0,0,0.057549432220695626,0.0,1.2608212631844886
0,remaining_dev,REFUGE,C_PER256,C,macro,336,-0.24727797489800143,0.0,-1.0486903622735244,0.031044535418434105,34,219,83,-5.84565358926058,-2.189792942930442,34,,,,,,,
0,remaining_dev,REFUGE,C_SENS,C_PER256,OD,336,0.35965405423789065,0.0,0.0,1.450276489119856,101,219,16,-2.0103926537272665,-0.3146459095698381,34,336,0,0,0,-0.4603184699028918,0.0,0.2734557664155159
0,remaining_dev,REFUGE,C_SENS,C_PER256,OC,336,0.13490189555811244,0.0,-0.8242929753114525,1.1219069550179483,59,219,58,-3.552200381727999,-1.63236291577491,34,336,0,0,0,-0.057549432220695626,0.0,0.8003276408935796
0,remaining_dev,REFUGE,C_SENS,C_PER256,macro,336,0.24727797489800143,0.0,-0.031044535418434105,1.0486903622735244,83,219,34,-2.6629548803635217,-0.6109587794487076,34,,,,,,,
0,remaining_dev,REFUGE,C_PCA_GLOBAL,C,OD,336,0.07046821609186125,0.0508278511389626,0.0,0.16888231557669053,290,22,24,-0.15793019928246332,-0.014977826800046406,34,336,0,0,0,-0.10069003228954915,-0.042421275733167896,0.05098502872682034
0,remaining_dev,REFUGE,C_PCA_GLOBAL,C,OC,336,-0.006907454418599503,-0.0026409063229149154,-0.0528030592013784,0.03944964342431634,131,32,173,-0.191910426317754,-0.08649372242498705,34,336,0,0,0,-0.0015158163519962263,0.0,0.08717836670662535
0,remaining_dev,REFUGE,C_PCA_GLOBAL,C,macro,336,0.031780380836630956,0.024301317663888433,-0.0036143290461088107,0.08489835927018019,269,20,47,-0.10352763681548138,-0.024240592891627506,34,,,,,,,
0,remaining_dev,REFUGE,C_PCA_REGION,C,OD,336,0.033882583167712,0.026384092233810996,-0.011711031798217197,0.09556794251927014,247,21,68,-0.15719262936787493,-0.03832429003369187,34,336,0,0,0,-0.06267320832236133,-0.021784492216555318,0.06763185399015226
0,remaining_dev,REFUGE,C_PCA_REGION,C,OC,336,-0.00622233185801994,0.0,-0.2538568509956707,0.23231014418453877,163,21,152,-0.6559206915517368,-0.3824878983073791,34,336,0,0,0,0.014731599273247289,0.0028205280247148856,0.22691606455735147
0,remaining_dev,REFUGE,C_PCA_REGION,C,macro,336,0.01383012565484578,0.008545377547108934,-0.10589128233822187,0.1521564824963073,184,19,133,-0.3366811087982535,-0.17560882349072654,34,,,,,,,
0,remaining_dev,REFUGE,C_PCA_REGION,C_PCA_GLOBAL,OD,336,-0.03658563292414926,-0.02853304290216796,-0.09130831791659966,0.0,24,21,291,-0.17373915814387075,-0.11406028822663616,34,336,0,0,0,0.03801682396718782,0.02430334856045846,0.19088867942123514
0,remaining_dev,REFUGE,C_PCA_REGION,C_PCA_GLOBAL,OC,336,0.0006851225605795652,0.0,-0.24367365369664107,0.23610703177026626,164,21,151,-0.6032736089742419,-0.35707842777089793,34,336,0,0,0,0.016247415625243518,0.0046522087169726944,0.223865049600474
0,remaining_dev,REFUGE,C_PCA_REGION,C_PCA_GLOBAL,macro,336,-0.01795025518178517,-0.0014700444897597365,-0.14472886909386307,0.10715398769307605,145,17,174,-0.3122810272260468,-0.20674505731938875,34,,,,,,,
0,remaining_dev,REFUGE,C_PCA_REGION,C_PCA_SHUFFLED,OD,336,-0.03633844480567772,-0.029076526492988197,-0.09196154332300477,0.0,26,20,290,-0.177841337644713,-0.11478187576788508,34,336,0,0,0,0.037606372895688044,0.021212368460495235,0.19525222326626893
0,remaining_dev,REFUGE,C_PCA_REGION,C_PCA_SHUFFLED,OC,336,0.0008728991936900532,0.0,-0.24607685805335677,0.24365929168148615,164,21,151,-0.5966976704463223,-0.36357296535082045,34,336,0,0,0,0.015997349165148455,0.004877523101193937,0.22235275871935836
0,remaining_dev,REFUGE,C_PCA_REGION,C_PCA_SHUFFLED,macro,336,-0.01773277280599446,-0.00039839751134751467,-0.145197293550009,0.10378157706715241,147,18,171,-0.30509311101702963,-0.20903835453004646,34,,,,,,,
0,remaining_dev,REFUGE,C_PCA_SHUFFLED,C,OD,336,0.07022102797338972,0.05096960397746875,0.0,0.170662351145906,290,24,22,-0.14763632064537235,-0.014800972219072022,34,336,0,0,0,-0.10027958121804938,-0.04144248962119068,0.052797897990077274
0,remaining_dev,REFUGE,C_PCA_SHUFFLED,C,OC,336,-0.007095231051709992,-0.003065661139539655,-0.05523351430689605,0.036310543599693546,130,34,172,-0.17931279467250372,-0.08730556793058648,34,336,0,0,0,-0.0012657498919011652,0.0,0.08870998049210767
0,remaining_dev,REFUGE,C_PCA_SHUFFLED,C,macro,336,0.03156289846084024,0.024036500667995453,-0.005664823331347213,0.08476604161425372,263,20,53,-0.0893600882057588,-0.024776255107885028,34,,,,,,,
0,remaining_dev,ORIGA,C_SENS,C,OD,586,0.0,0.0,0.0,0.0,0,586,0,0.0,0.0,59,586,0,0,0,0.0,0.0,0.0
0,remaining_dev,ORIGA,C_SENS,C,OC,586,0.0,0.0,0.0,0.0,0,586,0,0.0,0.0,59,586,0,0,0,0.0,0.0,0.0
0,remaining_dev,ORIGA,C_SENS,C,macro,586,0.0,0.0,0.0,0.0,0,586,0,0.0,0.0,59,,,,,,,
0,remaining_dev,ORIGA,C_PER256,C,OD,586,-7.29589459972453,-4.99848568706146,-15.992221146460462,-0.9325679807135001,26,0,560,-53.328954563945445,-26.998299087310226,59,586,0,0,0,8.051761646608828,5.29118266461367,31.62394509145477
0,remaining_dev,ORIGA,C_PER256,C,OC,586,-8.812466413433132,-4.880291514103141,-24.61267960779682,1.4862142826772395,86,0,500,-81.67633794605091,-42.36832534043024,59,586,0,0,0,4.255944787439022,2.284413009990483,21.784452715898155
0,remaining_dev,ORIGA,C_PER256,C,macro,586,-8.054180506578831,-4.735127789327986,-20.275037554813164,-0.1561362971794933,51,0,535,-67.50264625499817,-34.09596655237804,59,,,,,,,
0,remaining_dev,ORIGA,C_SENS,C_PER256,OD,586,7.29589459972453,4.99848568706146,0.9325679807135001,15.992221146460462,560,0,26,-4.315738436492278,-0.1191000801085814,59,586,0,0,0,-8.051761646608828,-5.29118266461367,0.26787979933444894
