arm,OD,OC,macro,delta_C_pp,worst_order,best_order,order_range,positive_orders
C,87.34818383752474,69.8741377233861,78.61116078045542,0.0,78.00634803464041,79.32614260973641,1.3197945750959974,0
C_PER256,85.35205863706923,68.77049011203978,77.06127437455451,-1.5498864059009172,76.86509045207012,77.34268819336539,0.4775977412952699,0
C_SENS,87.34818383752474,69.8741377233861,78.61116078045542,0.0,78.00634803464041,79.32614260973641,1.3197945750959974,0
C_PCA_GLOBAL,87.29894577389157,69.73407359142146,78.51650968265653,-0.09465109779889858,77.91240241975675,79.2293910738399,1.3169886540831612,0
C_PCA_SHUFFLED,87.29716869822416,69.73269827183113,78.51493348502764,-0.09622729542777364,77.90843506618815,79.2238018526623,1.3153667864741578,0
C_PCA_REGION,87.29415626203598,70.26568614788111,78.77992120495855,0.16876042450312667,77.87155859230208,79.98948903765768,2.117930445355597,2
