stream,arm,channel,domain,subset,metric,regional_context,null_reasons,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,C,OD,ALL,remaining_dev,n_fg,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,29328.835398230087,27666.0,23477.4,37600.8,17581,22158.95882352941,170,1695,0,0,1.0,31273.965032196877,31273.965032196877,31273.965032196877,0.0,15636.982516098438,7818.491258049219,
0,C,OD,ALL,remaining_dev,n_bg,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,232815.1646017699,234478.0,224543.2,238666.6,211405,221796.37647058823,170,1695,0,0,1.0,230870.03496780313,230870.03496780313,230870.03496780313,0.0,115435.01748390157,57717.50874195078,
0,C,OD,ALL,remaining_dev,rho,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,7.432093072503618,8.0,5.971766568809802,8.0,4.166518851376653,5.51922103281366,170,1695,0,0,1.0,7.070679181979136,7.070679181979136,7.070679181979136,0.0,3.535339590989568,1.767669795494784,
0,C,OD,ALL,remaining_dev,applied_w_fg,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,4.372562493827842,4.600975036621094,3.485883331298828,4.9172844886779785,2.583259344100952,3.259610523897059,170,1695,0,0,1.0,4.17288114113106,4.17288114113106,4.17288114113106,0.0,2.08644057056553,1.043220285282765,
0,C,OD,ALL,remaining_dev,applied_w_bg,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.5879500090196773,0.5836030840873718,0.5669763207435607,0.6147877216339112,0.5625118017196655,0.5648438863894518,170,1695,0,0,1.0,0.589856233488475,0.589856233488475,0.589856233488475,0.0,0.2949281167442375,0.14746405837211876,
0,C,OD,ALL,remaining_dev,S0,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1254.9606365552845,946.3233116602215,452.6534143168408,2272.581407331249,179.85187826589572,368.90015218977715,170,1695,0,0,1.0,1143.9948998605767,1143.9948998605767,1143.9948998605767,0.0,571.9974499302883,285.99872496514416,
0,C,OD,ALL,remaining_dev,Sw,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,10358.264577734728,7484.578121232645,3469.809873024636,19053.28301341142,1001.3553088647114,2735.4109103444484,170,1695,0,0,1.0,9194.181943872363,9194.181943872363,9194.181943872363,0.0,4597.090971936182,2298.545485968091,
0,C,OD,ALL,remaining_dev,Sperm,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,2968.8420467629535,2261.104051122489,1076.1224227733114,5335.42755393121,340.33704240457905,877.3787288419094,170,1695,0,0,1.0,2645.595943899414,2645.595943899414,2645.595943899414,0.0,1322.797971949707,661.3989859748535,
0,C,OD,ALL,remaining_dev,a,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,2.8721306408499183,2.8766084636547964,2.22928961512475,3.497453152033395,1.3549190716368587,2.035892805436797,170,1695,0,0,1.0,2.790370368725234,2.790370368725234,2.790370368725234,0.0,1.395185184362617,0.6975925921813085,
0,C,OD,ALL,remaining_dev,b,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.8588927545452032,1.866988434747838,1.4918489449776462,2.2281964471139357,0.959242528918127,1.3605336057719266,170,1695,0,0,1.0,1.8395292768714535,1.8395292768714535,1.8395292768714535,0.0,0.9197646384357268,0.4598823192178634,
