stream,control,channel,domain,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,C,OD,Drishti_GS,delta_pre,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,1.8741449151356384,2.4486229410081677,-0.2966482785830607,3.303852589012422,-3.4932560374605544,-1.71995670331642,4,32,5,0,0.25,1.8741449151356384,0.4685362287839096,0.5170133885513376,-0.04847715976742798,0.2342681143919548,0.1171340571959774,
0,C,OD,Drishti_GS,delta_step,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-0.001808270940956249,-0.0022228549702134615,-0.012031372876978707,0.007487383675615432,-0.01633423487739094,-0.014192955787233785,4,16,21,0,0.25,-0.0018082709409562492,-0.0004520677352390623,0.0005963398139548117,-0.001048407549193874,-0.00022603386761953115,-0.00011301693380976557,
0,C,OD,Drishti_GS,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,1.872336644194682,2.4447625119020415,-0.29995447638507644,3.3124459211784854,-3.5051713369274893,-1.72546034807932,4,32,5,0,0.25,1.872336644194682,0.4680841610486705,0.516682477424963,-0.04859831637629242,0.23404208052433526,0.11702104026216763,
0,C,OD,ORIGA,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.970600364639521,1.027614644397751,-0.47621639702882135,2.599766008126302,-3.795569839111508,-1.5131477129204591,59,478,108,0,0.25,0.970600364639521,0.24265009115988026,0.2854805290659738,-0.04283043790609355,0.12132504557994013,0.060662522789970065,
0,C,OD,ORIGA,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.0010418520321958014,0.00019524962117856148,-0.01707059775473141,0.022668540201642884,-1.0916546104962634,-0.05715073586403547,59,301,285,0,0.25,0.0010418520321958014,0.00026046300804895034,0.0023262089859590216,-0.0020657459779100714,0.00013023150402447517,6.511575201223759e-05,
0,C,OD,ORIGA,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.9716422166717168,1.025455184405267,-0.4782754313304096,2.5973681737805023,-3.7841624674369,-1.5167032149813136,59,479,107,0,0.25,0.9716422166717168,0.2429105541679292,0.28565845692657027,-0.04274790275864104,0.1214552770839646,0.0607276385419823,
0,C,OD,REFUGE,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.0506794420902145,0.043201141981754176,-0.7377166427693709,0.4745073331380709,-1.2738633770304801,-0.9663928904272803,34,186,149,1,0.25,-0.0506794420902145,-0.012669860522553625,0.03857134365432413,-0.05124120417687776,-0.006334930261276813,-0.0031674651306384063,
0,C,OD,REFUGE,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.0017522453893042279,-0.0007899841514245054,-0.02349960476909274,0.022576776177025693,-0.46600647381227134,-0.050064935418470465,34,153,180,3,0.25,-0.0017522453893042279,-0.00043806134732605697,0.0017673807906319469,-0.002205442137958004,-0.00021903067366302849,-0.00010951533683151424,
0,C,OD,REFUGE,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.05243168747951873,0.05168487934532351,-0.7514091744781908,0.4852118297965191,-1.2634759236710096,-0.9653914350540255,34,182,154,0,0.25,-0.05243168747951873,-0.013107921869879682,0.03879914893688764,-0.051907070806767326,-0.006553960934939841,-0.0032769804674699205,
0,C,OD,REFUGE_Valid,delta_pre,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,-5.660883860690143,-5.707535347436149,-7.412197185542844,-3.81979401577361,-11.671743465693417,-8.000181172890976,74,2,734,0,0.25,-5.660883860690142,-1.4152209651725356,0.0007689853891843946,-1.4159899505617202,-0.7076104825862678,-0.3538052412931339,
0,C,OD,REFUGE_Valid,delta_step,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,-0.002206803100967214,-0.00280009093680178,-0.023881800517024487,0.016336268970238876,-0.23515057915611948,-0.04835966219337524,74,306,428,2,0.25,-0.002206803100967214,-0.0005517007752418035,0.001773733792844099,-0.0023254345680859025,-0.00027585038762090175,-0.00013792519381045087,
0,C,OD,REFUGE_Valid,delta_post,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,-5.6630906637911105,-5.704583372482659,-7.414179547892417,-3.864483857552017,-11.474685611949688,-7.989075684971167,74,2,734,0,0.25,-5.66309066379111,-1.4157726659477774,0.0007665902195055265,-1.416539256167283,-0.7078863329738887,-0.35394316648694435,
0,C,OC,Drishti_GS,delta_pre,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,4.361146377360864,6.222367595628754,-3.2435673263465814,7.294340826937322,-7.949688567436958,-6.568198415032052,4,31,6,0,0.25,4.361146377360865,1.0902865943402162,1.2914204365757123,-0.20113384223549619,0.5451432971701081,0.27257164858505406,
0,C,OC,Drishti_GS,delta_step,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.008932129452110443,0.008209538062772026,-0.012565422185312513,0.026679624623108106,-0.03331405069485527,-0.019208196611465667,4,24,13,0,0.25,0.008932129452110443,0.002233032363027611,0.003015860945907025,-0.0007828285828794142,0.0011165161815138054,0.0005582580907569027,
0,C,OC,Drishti_GS,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,4.370078506812975,6.224567034328146,-3.2424408424292777,7.288459054035748,-7.931309982002098,-6.557463989111758,4,31,6,0,0.25,4.370078506812975,1.0925196267032438,1.2932923868027055,-0.20077276009946168,0.5462598133516219,0.27312990667581094,
0,C,OC,ORIGA,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.5442197072873001,0.48164414065282557,-2.3242203409118645,3.2710568215792932,-7.095399705907653,-3.5575500425329056,59,357,229,0,0.25,0.5442197072873001,0.13605492682182502,0.28978619518250226,-0.15373126836067721,0.06802746341091251,0.034013731705456254,
0,C,OC,ORIGA,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.0025313507623069584,0.0039732308781381676,-0.03510116279002773,0.04016714803768906,-3.345073598054796,-0.14561290029879348,59,325,261,0,0.25,-0.002531350762306958,-0.0006328376905767395,0.004339873809554318,-0.0049727115001310575,-0.00031641884528836974,-0.00015820942264418487,
0,C,OC,ORIGA,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.541688356524993,0.5174091170075172,-2.349826378734747,3.2517803696935204,-6.762191606812195,-3.5552681881364667,59,360,226,0,0.25,0.5416883565249931,0.13542208913124829,0.28903755395360536,-0.15361546482235708,0.06771104456562414,0.03385552228281207,
0,C,OC,REFUGE,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.1447582626465833,0.14041996848859384,-0.7559778876682444,0.9471387479450897,-1.8067989285047616,-1.0937302852320623,34,213,122,1,0.25,0.14475826264658329,0.03618956566164582,0.08155134851226374,-0.04536178285061791,0.01809478283082291,0.009047391415411455,
0,C,OC,REFUGE,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.0015369678518766885,0.00022918104235714054,-0.04531870426241369,0.04414669636121715,-0.14341052241822183,-0.06807142902215864,34,170,166,0,0.25,0.0015369678518766885,0.00038424196296917213,0.0037930997662683984,-0.0034088578032992266,0.00019212098148458607,9.606049074229303e-05,
0,C,OC,REFUGE,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.14629523049846,0.15244973224419311,-0.760654661306873,0.9479268542840344,-1.8049104897960433,-1.0887670826245346,34,209,127,0,0.25,0.14629523049846,0.036573807624615,0.08200933875283734,-0.045435531128222344,0.0182869038123075,0.00914345190615375,
0,C,OC,REFUGE_Valid,delta_pre,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,-4.4047950684350585,-4.502156377196663,-6.01700609747752,-2.9804932830992676,-8.343311605744518,-6.614015423302268,74,12,724,0,0.25,-4.4047950684350585,-1.1011987671087646,0.01269078968917474,-1.1138895567979394,-0.5505993835543823,-0.27529969177719116,
0,C,OC,REFUGE_Valid,delta_step,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,-0.0022717079752325926,-0.002649897235357912,-0.020423915725615416,0.0161402864383291,-0.10403477217396784,-0.03176368224577853,74,314,414,8,0.25,-0.002271707975232592,-0.000567926993808148,0.0012417114193854892,-0.0018096384131936374,-0.000283963496904074,-0.000141981748452037,
