stream,control,channel,domain,block_type,block,phase,first_visit,all_arrivals,prior_domain_exposures,domain_occurrence,gap_since_domain_visit,is_switch_segment,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,C,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.0506794420902145,0.043201141981754176,-0.7377166427693709,0.4745073331380709,-1.2738633770304801,-0.9663928904272803,34,186,149,1,0.25,-0.0506794420902145,-0.012669860522553625,0.03857134365432413,-0.05124120417687776,-0.006334930261276813,-0.0031674651306384063,
0,C,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.0017522453893042279,-0.0007899841514245054,-0.02349960476909274,0.022576776177025693,-0.46600647381227134,-0.050064935418470465,34,153,180,3,0.25,-0.0017522453893042279,-0.00043806134732605697,0.0017673807906319469,-0.002205442137958004,-0.00021903067366302849,-0.00010951533683151424,
0,C,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.05243168747951873,0.05168487934532351,-0.7514091744781908,0.4852118297965191,-1.2634759236710096,-0.9653914350540255,34,182,154,0,0.25,-0.05243168747951873,-0.013107921869879682,0.03879914893688764,-0.051907070806767326,-0.006553960934939841,-0.0032769804674699205,
0,R_SCALE,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.6783526989693179,-0.4314531234479446,-2.056925099243365,0.12291529395226775,-3.175360280758298,-2.43894736585296,34,90,244,2,0.25,-0.6783526989693179,-0.16958817474232948,0.009866632354677789,-0.17945480709700729,-0.08479408737116474,-0.04239704368558237,
0,R_SCALE,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.0045106058247175495,-0.004291753119318287,-0.026944124780563072,0.01945721195114203,-0.3143467122611838,-0.04387667058081699,34,136,199,1,0.25,-0.004510605824717549,-0.0011276514561793871,0.0014096438737971617,-0.002537295329976549,-0.0005638257280896936,-0.0002819128640448468,
0,R_SCALE,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.6828633047940356,-0.4110342193148284,-2.0772310904162907,0.14216823251868504,-3.1901895515242273,-2.441092962605663,34,91,245,0,0.25,-0.6828633047940355,-0.17071582619850886,0.010107185231317546,-0.18082301142982643,-0.08535791309925443,-0.042678956549627216,
0,R_SHUFFLE,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.7340466969934788,-0.4294603524847673,-2.191433732255817,0.11473195529789137,-3.4099833218506177,-2.585771730650881,34,88,247,1,0.25,-0.7340466969934788,-0.1835116742483697,0.009374392285755333,-0.19288606653412502,-0.09175583712418485,-0.045877918562092425,
0,R_SHUFFLE,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.006009408784864038,-0.006047642464622527,-0.0257324740411633,0.01585934522216803,-0.27802722617552433,-0.04178373629583752,34,110,226,0,0.25,-0.006009408784864037,-0.0015023521962160094,0.0010896844369012513,-0.0025920366331172607,-0.0007511760981080047,-0.00037558804905400234,
0,R_SHUFFLE,OD,REFUGE,segment,1,all,1,400,0,1,,False,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.7400561057783428,-0.4335954037213483,-2.2065947599623357,0.12000507149955553,-3.3992425270563587,-2.5892495757198546,34,87,249,0,0.25,-0.7400561057783428,-0.1850140264445857,0.00945451109281945,-0.19446853753740515,-0.09250701322229285,-0.046253506611146425,
0,C,OC,REFUGE,segment,1,all,1,400,0,1,,False,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.1447582626465833,0.14041996848859384,-0.7559778876682444,0.9471387479450897,-1.8067989285047616,-1.0937302852320623,34,213,122,1,0.25,0.14475826264658329,0.03618956566164582,0.08155134851226374,-0.04536178285061791,0.01809478283082291,0.009047391415411455,
