stream,control,channel,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,C,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-2.0916363648799288,-0.527985361812469,-6.698945297223619,1.8395449507277795,-11.671743465693417,-7.451955520255725,170,698,996,1,1.0,-0.7167045057512994,-0.7167045057512994,0.84183424666082,-1.5585387524121195,-0.3583522528756497,-0.17917612643782485,
0,C,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.00098486269443465,-0.0012564238114407544,-0.02112840062999055,0.019381697795043364,-1.0916546104962634,-0.05161179351274315,170,776,914,5,1.0,-0.0011813668497579724,-0.0011813668497579724,0.0064636633833898794,-0.007645030233147851,-0.0005906834248789862,-0.0002953417124394931,
0,C,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-2.0926212275743636,-0.5418178749754077,-6.698180627587012,1.8384163617295912,-11.474685611949688,-7.4475689035801995,170,695,1000,0,1.0,-0.7178858726010574,-0.7178858726010574,0.8419066735079264,-1.5597925461089839,-0.3589429363005287,-0.17947146815026435,
0,C,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-1.600598955567104,-1.146434987056935,-5.481772856892567,2.2831159745627323,-8.343311605744518,-6.146412611261758,170,613,1081,1,1.0,0.16133231971492232,0.16133231971492232,1.675448769959653,-1.5141164502447308,0.08066615985746116,0.04033307992873058,
0,C,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.0013619106952946383,-0.00015226717323457706,-0.029679014580534614,0.03165211705948536,-3.345073598054796,-0.08116293081146439,170,833,854,8,1.0,0.0014165096416118954,0.0014165096416118954,0.01239054594111523,-0.010974036299503335,0.0007082548208059477,0.00035412741040297385,
0,C,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-1.6019608662623988,-1.14227348737343,-5.482052097380259,2.286090235443908,-8.334282592560527,-6.144213899947372,170,612,1083,0,1.0,0.16274882935653417,0.16274882935653417,1.6769867277624342,-1.5142378984059,0.08137441467826709,0.040687207339133544,
0,C,macro,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-1.8461176602235165,-0.6500500027869265,-5.925936604470218,1.9072393743700007,-7.9494689209965586,-6.380915902526486,170,665,1029,1,1.0,-0.2776860930181886,-0.2776860930181886,1.1921583016324757,-1.4698443946506643,-0.2776860930181886,-0.1388430465090943,
0,C,macro,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.0011733866948646441,-0.0003844707759093069,-0.01972367554842833,0.020129906541565396,-1.7405410033397857,-0.05615090001885631,170,822,873,0,1.0,0.00011757139592696148,0.00011757139592696148,0.00763832197865862,-0.007520750582731659,0.00011757139592696148,5.878569796348074e-05,
0,C,macro,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-1.8472910469183812,-0.6695690271165446,-5.922012209662112,1.9106691715926136,-7.95917848331711,-6.379936113779342,170,667,1028,0,1.0,-0.2775685216222616,-0.2775685216222616,1.1928889821023265,-1.4704575037245882,-0.2775685216222616,-0.1387842608111308,
0,R_SCALE,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.4884304653689635,-0.4317138721497713,-1.393624627019463,0.34784024682818776,-3.3917582942365954,-1.847678198438964,170,437,1256,2,1.0,-0.38647276244417167,-0.38647276244417167,0.07481232454705648,-0.46128508699122817,-0.19323638122208583,-0.09661819061104292,
0,R_SCALE,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0003941693562278694,8.597613695826567e-05,-0.018857548644737675,0.01834498623841228,-0.515050483036319,-0.03706567553099129,170,861,831,3,1.0,-0.00019875693796358508,-0.00019875693796358508,0.005728754780268112,-0.005927511718231698,-9.937846898179254e-05,-4.968923449089627e-05,
0,R_SCALE,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.4880362960127356,-0.42518959774319853,-1.3980314586147984,0.35372984627693166,-3.213754444888835,-1.8463838677337514,170,440,1255,0,1.0,-0.3866715193821353,-0.3866715193821353,0.07498310911615623,-0.4616546284982915,-0.19333575969106764,-0.09666787984553382,
0,R_SCALE,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.0926081020669609,-0.23045733975007465,-0.8498477825709756,0.8315637571291276,-3.5495553622920255,-1.2684645299981823,170,588,1105,2,1.0,0.035016215950817595,0.035016215950817595,0.3127115786236408,-0.2776953626728232,0.017508107975408797,0.008754053987704399,
0,R_SCALE,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.00040958868254583914,0.0001947723109445576,-0.026421768012374967,0.029426525449861178,-1.925768987849544,-0.06526157980847401,170,894,788,13,1.0,0.001527138008397765,0.001527138008397765,0.011185524203619047,-0.009658386195221282,0.0007635690041988825,0.00038178450209944126,
0,R_SCALE,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.09219851338441507,-0.22890973171036677,-0.8521546978923482,0.8407418812396691,-3.243346337398421,-1.2666778739338966,170,591,1104,0,1.0,0.03654335395921536,0.03654335395921536,0.31348803282749466,-0.2769446788682793,0.01827167697960768,0.00913583848980384,
0,R_SCALE,macro,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.2905192837179622,-0.3345733398902695,-0.9735596887991527,0.4138075815270115,-2.6225234120121,-1.2595916800492257,170,526,1168,1,1.0,-0.17572827324667703,-0.17572827324667703,0.14027416738314283,-0.31600244062981986,-0.17572827324667703,-0.08786413662333852,
0,R_SCALE,macro,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.00040187901938685427,0.0006177891015859416,-0.016934589027205505,0.018743777171152953,-0.9074641714196297,-0.04106358109236012,170,877,818,0,1.0,0.0006641905352170901,0.0006641905352170901,0.006819046510457111,-0.0061548559752400206,0.0006641905352170901,0.00033209526760854505,
0,R_SCALE,macro,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.29011740469857533,-0.3379672074165576,-0.9723625336244013,0.4159059642274431,-2.629260564639438,-1.2555717627048981,170,527,1168,0,1.0,-0.17506408271145996,-0.17506408271145996,0.1403359970768072,-0.3154000797882672,-0.17506408271145996,-0.08753204135572998,
0,R_SHUFFLE,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.36759122374346986,-0.2559552865865413,-1.1337908506048109,0.2633057444524157,-3.4099833218506177,-1.7344948192013772,170,482,1211,2,1.0,-0.3458610641094883,-0.3458610641094883,0.06296722149791444,-0.40882828560740275,-0.17293053205474415,-0.08646526602737208,
