stream,arm,channel,domain,subset,metric,regional_context,null_reasons,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,C,OD,ALL,remaining_dev,TP,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,24818.750442477874,23316.0,15060.6,36662.6,9104,13564.270588235295,170,1695,0,0,1.0,28497.0219643294,28497.0219643294,28497.0219643294,0.0,14248.5109821647,7124.25549108235,
0,C,OD,ALL,remaining_dev,FP,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,4510.084955752212,2492.0,0.0,11761.400000000001,0,0,170,1476,0,219,1.0,2776.943067867475,2776.943067867475,2776.943067867475,0.0,1388.4715339337374,694.2357669668687,
0,C,OD,ALL,remaining_dev,FN,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,3957.005309734513,2365.0,0.0,10416.400000000001,0,0,170,1323,0,372,1.0,4917.773382428188,4917.773382428188,4917.773382428188,0.0,2458.886691214094,1229.443345607047,
0,C,OD,ALL,remaining_dev,TN,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,228858.1592920354,232323.0,216037.8,237465.6,185479,210685.40588235293,170,1695,0,0,1.0,225952.26158537494,225952.26158537494,225952.26158537494,0.0,112976.13079268747,56488.065396343736,
0,C,OD,ALL,remaining_dev,q_precision,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.8351705603209117,0.9172623354073217,0.5684191755171102,1.0,0.33840317416121396,0.4978033417353037,170,1695,0,0,1.0,0.8991220945992586,0.8991220945992586,0.8991220945992586,0.0,0.4495610472996293,0.22478052364981466,
0,C,OD,ALL,remaining_dev,q_recall,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.8975557474060237,0.9222761750610936,0.7461753681437485,1.0,0.5080439121756487,0.6896042589117677,170,1695,0,0,1.0,0.8775504275237344,0.8775504275237344,0.8775504275237344,0.0,0.4387752137618672,0.2193876068809336,
0,C,OD,ALL,remaining_dev,FP_fraction,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.017204608748444414,0.0095062255859375,0.0,0.04486618041992188,0.0,0.0,170,1476,0,219,1.0,0.010593197127790355,0.010593197127790355,0.010593197127790355,0.0,0.0052965985638951775,0.0026482992819475888,
0,C,OD,ALL,remaining_dev,FN_fraction,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.015094777335107853,0.009021759033203125,0.0,0.039735412597656256,0.0,0.0,170,1323,0,372,1.0,0.018759816674912215,0.018759816674912215,0.018759816674912215,0.0,0.009379908337456107,0.004689954168728054,
0,C,OD,ALL,remaining_dev,area_bias,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.00210983141333656,-0.002071380615234375,-0.037190246582031246,0.04468002319335938,-0.09889984130859375,-0.051492735918830426,170,824,871,0,1.0,-0.008166619547121862,-0.008166619547121862,0.008820409049179228,-0.01698702859630109,-0.004083309773560931,-0.0020416548867804654,
0,C,OD,ALL,remaining_dev,E_plain,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.03229938608355227,0.02954864501953125,0.01420135498046875,0.05458831787109375,0.003875732421875,0.011055239509133731,170,1695,0,0,1.0,0.029353013802702572,0.029353013802702572,0.029353013802702572,0.0,0.014676506901351286,0.007338253450675643,
0,C,OD,ALL,remaining_dev,E_regional,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.08721180770354257,0.05551600919898192,0.014065693198244845,0.20910402176123172,0.00484763692247725,0.011231663993074856,170,1695,0,0,1.0,0.059028779210217,0.059028779210217,0.059028779210217,0.0,0.0295143896051085,0.01475719480255425,
0,C,OD,ALL,remaining_dev,E_regional_minus_plain,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.054912421619990305,0.0216743626222069,-0.013119537215698073,0.16188767476551222,-0.037581520688490855,-0.018578091766137145,170,1134,561,0,1.0,0.02967576540751443,0.02967576540751443,0.0351063307057578,-0.005430565298243368,0.014837882703757216,0.007418941351878608,
0,C,OD,ALL,remaining_dev,q_dice,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,84.41598323816099,86.55965562845215,71.73668055364766,93.79368702433143,50.56819659342088,65.9008652464738,170,1695,0,0,1.0,87.23796261574664,87.23796261574664,87.23796261574664,0.0,43.61898130787332,21.80949065393666,
0,C,OD,Drishti_GS,remaining_dev,TP,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,38852.37837837838,38577.0,33557.0,45080.0,31712,32883.5,4,37,0,0,0.25,38852.37837837838,9713.094594594595,9713.094594594595,0.0,4856.5472972972975,2428.2736486486488,
0,C,OD,Drishti_GS,remaining_dev,FP,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,222.8918918918919,5.0,0.0,543.5999999999997,0,0,4,21,0,16,0.25,222.8918918918919,55.722972972972975,55.722972972972975,0.0,27.861486486486488,13.930743243243244,
0,C,OD,Drishti_GS,remaining_dev,FN,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,6088.513513513513,4940.0,1446.2,12229.199999999993,362,900.25,4,37,0,0,0.25,6088.513513513514,1522.1283783783786,1522.1283783783786,0.0,761.0641891891893,380.53209459459464,
0,C,OD,Drishti_GS,remaining_dev,TN,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,216980.2162162162,218748.0,205244.6,226551.6,185479,196598.25,4,37,0,0,0.25,216980.21621621624,54245.05405405406,54245.05405405406,0.0,27122.52702702703,13561.263513513515,
0,C,OD,Drishti_GS,remaining_dev,q_precision,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.9938702118325389,0.9998675426512663,0.9840571771994323,1.0,0.9283372365339578,0.9567365329610512,4,37,0,0,0.25,0.993870211832539,0.24846755295813475,0.24846755295813475,0.0,0.12423377647906737,0.06211688823953369,
0,C,OD,Drishti_GS,remaining_dev,q_recall,hypothetical_base_regional_at_own_state,{},POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.877766091421742,0.8836233847436432,0.7813652364732315,0.9604281177259365,0.6618274310311094,0.7228960080890644,4,37,0,0,0.25,0.8777660914217421,0.21944152285543553,0.21944152285543553,0.0,0.10972076142771776,0.05486038071385888,
