id,route,rank,film_amplitude,observer,aux_multiplier
B_compact_global_aux1p0,B,32,0.1,global,1.0
B_compact_global_aux0p1,B,32,0.1,global,0.1
B_compact_current_tokens_aux1p0,B,32,0.1,current_tokens,1.0
B_compact_current_tokens_aux0p1,B,32,0.1,current_tokens,0.1
B_expanded_global_aux1p0,B,64,0.3,global,1.0
B_expanded_global_aux0p1,B,64,0.3,global,0.1
B_expanded_current_tokens_aux1p0,B,64,0.3,current_tokens,1.0
B_expanded_current_tokens_aux0p1,B,64,0.3,current_tokens,0.1
A_r16_a0p1,A,16,0.1,R7_dual_codebook,1.0
A_r16_a0p3,A,16,0.3,R7_dual_codebook,1.0
A_r32_a0p1,A,32,0.1,R7_dual_codebook,1.0
A_r32_a0p3,A,32,0.3,R7_dual_codebook,1.0
