job_id,arm,order,stream,endpoint,records,network_forwards,loss_backward_calls,adam_calls,jacobian_vjp_upper,actual_parameter_replacements_upper,worker_slot_1,worker_slot_2,worker_slot_3,status,gpu
o0a0,C,0,0,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o0a1,RP,0,0,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o0a2,MT,0,0,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o0a3,MT_RP,0,0,primary,1951,17559,1951,1951,0,0,0,1,0,NOT_RUN,
o0a4,FT,0,0,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o0a5,FT_RP,0,0,primary,1951,17559,1951,1951,0,0,0,1,2,NOT_RUN,
o0a6,KDG,0,0,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o0a7,K_ALL,0,0,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o0a8,K_MAG,0,0,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o0a9,K_FREE,0,0,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o0a10,G_BOUND,0,0,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o0a11,G_CONST,0,0,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o0a12,G_SHUFFLE,0,0,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o0a13,G_GLOBAL,0,0,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o1a0,C,1,1,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o1a1,RP,1,1,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o1a2,MT,1,1,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o1a3,MT_RP,1,1,primary,1951,17559,1951,1951,0,0,0,0,1,NOT_RUN,
o1a4,FT,1,1,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o1a5,FT_RP,1,1,primary,1951,17559,1951,1951,0,0,0,0,0,NOT_RUN,
o1a6,KDG,1,1,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o1a7,K_ALL,1,1,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o1a8,K_MAG,1,1,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o1a9,K_FREE,1,1,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o1a10,G_BOUND,1,1,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o1a11,G_CONST,1,1,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o1a12,G_SHUFFLE,1,1,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o1a13,G_GLOBAL,1,1,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o2a0,C,2,2,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o2a1,RP,2,2,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o2a2,MT,2,2,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o2a3,MT_RP,2,2,primary,1951,17559,1951,1951,0,0,0,1,2,NOT_RUN,
o2a4,FT,2,2,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o2a5,FT_RP,2,2,primary,1951,17559,1951,1951,0,0,0,1,1,NOT_RUN,
o2a6,KDG,2,2,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o2a7,K_ALL,2,2,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o2a8,K_MAG,2,2,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o2a9,K_FREE,2,2,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o2a10,G_BOUND,2,2,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o2a11,G_CONST,2,2,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o2a12,G_SHUFFLE,2,2,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o2a13,G_GLOBAL,2,2,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o3a0,C,3,3,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o3a1,RP,3,3,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o3a2,MT,3,3,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o3a3,MT_RP,3,3,primary,1951,17559,1951,1951,0,0,0,0,0,NOT_RUN,
o3a4,FT,3,3,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o3a5,FT_RP,3,3,primary,1951,17559,1951,1951,0,0,0,0,2,NOT_RUN,
o3a6,KDG,3,3,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o3a7,K_ALL,3,3,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o3a8,K_MAG,3,3,primary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o3a9,K_FREE,3,3,primary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o3a10,G_BOUND,3,3,primary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o3a11,G_CONST,3,3,primary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o3a12,G_SHUFFLE,3,3,primary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o3a13,G_GLOBAL,3,3,primary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o4a0,C,4,4,secondary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o4a1,RP,4,4,secondary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o4a2,MT,4,4,secondary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o4a3,MT_RP,4,4,secondary,1951,17559,1951,1951,0,0,0,1,1,NOT_RUN,
o4a4,FT,4,4,secondary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o4a5,FT_RP,4,4,secondary,1951,17559,1951,1951,0,0,0,1,0,NOT_RUN,
o4a6,KDG,4,4,secondary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o4a7,K_ALL,4,4,secondary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
o4a8,K_MAG,4,4,secondary,1951,15608,1951,1951,0,0,0,0,0,NOT_RUN,
o4a9,K_FREE,4,4,secondary,1951,15608,1951,1951,0,0,0,1,1,NOT_RUN,
o4a10,G_BOUND,4,4,secondary,1951,15608,1951,1951,0,0,0,0,2,NOT_RUN,
o4a11,G_CONST,4,4,secondary,1951,15608,1951,1951,0,0,0,1,0,NOT_RUN,
o4a12,G_SHUFFLE,4,4,secondary,1951,15608,1951,1951,0,0,0,0,1,NOT_RUN,
o4a13,G_GLOBAL,4,4,secondary,1951,15608,1951,1951,0,0,0,1,2,NOT_RUN,
