OC,OD,dice,jobs,method,seed_scores,seed_sd,worst_domain_order
0.649929024567738,0.8302415999172401,0.7400853122424891,4,A_FULL,"{""20260924"": 0.7391269596249492, ""20260925"": 0.7410436648600289}",0.001355315269260609,0.6456608685397617
0.6546456985269621,0.8296388229675222,0.7421422607472421,4,A_STATIC,"{""20260924"": 0.7406370205709043, ""20260925"": 0.7436475009235799}",0.002128731072005781,0.6475944550059511
0.6356144087676355,0.8293680150694236,0.7324912119185295,4,B_FULL,"{""20260924"": 0.7302644448432734, ""20260925"": 0.7347179789937857}",0.003149124198073122,0.625551314825606
0.6400037725662615,0.8301950975306301,0.7350994350484458,4,B_STATIC,"{""20260924"": 0.733129148700979, ""20260925"": 0.7370697213959125}",0.002786405674346048,0.6300789157174962
0.668889896708093,0.8326985070507066,0.7507942018793998,2,C0_CURRENT_STATS,"{""None"": 0.7507942018793998}",,0.6660414694175597
0.6510358609920073,0.8362835518372531,0.7436597064146302,4,CURRENT_MLP,"{""20260924"": 0.7426816288336322, ""20260925"": 0.7446377839956282}",0.0013832105801004318,0.6519235723259467
0.7019884730112105,0.8686929764547219,0.7853407247329662,4,C_CTTA_FIXED_LR,"{""20260907"": 0.7855530210311727, ""20260908"": 0.7851284284347595}",0.00030023230416541453,0.6983162098065837
0.6878666370302734,0.8573450088720426,0.772605822951158,4,G_CTTA_RELEASE_TRANSFER,"{""20260907"": 0.772296928436183, ""20260908"": 0.7729147174661329}",0.00043684281242024127,0.7235660346948062
0.5767536707236914,0.7872579628985666,0.682005816811129,2,N_SOURCE_EVAL,"{""None"": 0.682005816811129}",,0.5315004242238575
0.668860258430724,0.832727085772955,0.7507936721018396,2,R7_C_FULL,"{""None"": 0.7507936721018396}",,0.666007578625542
0.6688929047295595,0.8327124394366776,0.7508026720831186,2,R7_C_STATIC,"{""None"": 0.7508026720831186}",,0.6660577894145028
0.6599851218874655,0.8280371149447683,0.7440111184161169,4,VPTTA_NATIVE,"{""20260907"": 0.7440111184161169, ""20260908"": 0.7440111184161169}",0.0,0.6090002188136896
