assd,assd_undefined,assd_valid,channel,dice,domain,job,method,n,order,seed
11.55218026251467,0,736,OC,0.7131341173329926,REFUGE_Valid,A_STATIC_20260924_order1,A_STATIC,736,1,20260924
21.069736564023046,0,736,OD,0.8576557761173026,REFUGE_Valid,A_STATIC_20260924_order1,A_STATIC,736,1,20260924
30.312280059457304,0,37,OC,0.5543760087448064,Drishti_GS,A_STATIC_20260925_order0,A_STATIC,37,0,20260925
16.72509299352352,0,37,OD,0.8446630495132367,Drishti_GS,A_STATIC_20260925_order0,A_STATIC,37,0,20260925
25.54264806726344,0,586,OC,0.5494017339210281,ORIGA,A_STATIC_20260925_order0,A_STATIC,586,0,20260925
26.784525583535558,0,586,OD,0.7530307925778659,ORIGA,A_STATIC_20260925_order0,A_STATIC,586,0,20260925
7.989997516243081,0,336,OC,0.8196166886891616,REFUGE,A_STATIC_20260925_order0,A_STATIC,336,0,20260925
12.337113543322529,0,336,OD,0.8711210519636708,REFUGE,A_STATIC_20260925_order0,A_STATIC,336,0,20260925
12.080702794552561,0,736,OC,0.7035050996769889,REFUGE_Valid,A_STATIC_20260925_order0,A_STATIC,736,0,20260925
22.33047627667997,0,736,OD,0.853465582301881,REFUGE_Valid,A_STATIC_20260925_order0,A_STATIC,736,0,20260925
30.312280059457304,0,37,OC,0.5543760087448064,Drishti_GS,A_STATIC_20260925_order1,A_STATIC,37,1,20260925
16.72509299352352,0,37,OD,0.8446630495132367,Drishti_GS,A_STATIC_20260925_order1,A_STATIC,37,1,20260925
25.54264806726344,0,586,OC,0.5494017339210281,ORIGA,A_STATIC_20260925_order1,A_STATIC,586,1,20260925
26.784525583535558,0,586,OD,0.7530307925778659,ORIGA,A_STATIC_20260925_order1,A_STATIC,586,1,20260925
7.989997516243081,0,336,OC,0.8196166886891616,REFUGE,A_STATIC_20260925_order1,A_STATIC,336,1,20260925
12.337113543322529,0,336,OD,0.8711210519636708,REFUGE,A_STATIC_20260925_order1,A_STATIC,336,1,20260925
12.080702794552561,0,736,OC,0.7035050996769889,REFUGE_Valid,A_STATIC_20260925_order1,A_STATIC,736,1,20260925
22.33047627667997,0,736,OD,0.853465582301881,REFUGE_Valid,A_STATIC_20260925_order1,A_STATIC,736,1,20260925
33.78620885834682,0,37,OC,0.48673964283773724,Drishti_GS,B_FULL_20260924_order0,B_FULL,37,0,20260924
17.238022105417077,0,37,OD,0.8396926896292997,Drishti_GS,B_FULL_20260924_order0,B_FULL,37,0,20260924
27.365665707816145,0,586,OC,0.498163864605163,ORIGA,B_FULL_20260924_order0,B_FULL,586,0,20260924
26.978964845221817,0,586,OD,0.7463553006571664,ORIGA,B_FULL_20260924_order0,B_FULL,586,0,20260924
8.954804244074564,0,336,OC,0.794192454223645,REFUGE,B_FULL_20260924_order0,B_FULL,336,0,20260924
